"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
1.74351473944252e-07,-1.23844714809181,0.211,0.359,0.0040873216036751,"Serinc1","Astrocytes","24hrvs1hr_PTZ","Down"
2.21196863140475e-07,-0.958319211507918,0.302,0.449,0.00518551806260215,"Ttyh3","Astrocytes","24hrvs1hr_PTZ","Down"
2.37987044711994e-07,0.984172064548139,0.296,0.138,0.00557913028918328,"Dalrd3","Astrocytes","24hrvs1hr_PTZ","Up"
2.46465208670488e-07,-0.868552077014432,0.446,0.568,0.00577788388686225,"Cd81","Astrocytes","24hrvs1hr_PTZ","Down"
2.55233082139587e-07,0.511337036049388,0.884,0.827,0.00598342914459834,"Snrnp70","Astrocytes","24hrvs1hr_PTZ","Up"
2.55624205497024e-07,0.353677385921416,0.958,0.945,0.00599259824946674,"Gm3764","Astrocytes","24hrvs1hr_PTZ","Up"
2.72895280940717e-07,-0.18335772893205,0.706,0.905,0.00639748407109323,"Cacna1e","Astrocytes","24hrvs1hr_PTZ","Down"
2.83050737194316e-07,-0.148447461919699,0.74,0.96,0.00663555843204634,"Dlgap2","Astrocytes","24hrvs1hr_PTZ","Down"
2.95426734780221e-07,-0.291671661176378,0.759,0.95,0.00692568894345273,"Kcnq5","Astrocytes","24hrvs1hr_PTZ","Down"
2.99496127114835e-07,-0.263429564657255,0.62,0.846,0.00702108770795309,"Tafa1","Astrocytes","24hrvs1hr_PTZ","Down"
2.99941998105293e-07,-0.328883927741475,0.571,0.774,0.00703154026158239,"Tenm1","Astrocytes","24hrvs1hr_PTZ","Down"
3.33449018770078e-07,-0.395760222137881,0.54,0.717,0.00781704534702693,"Gria3","Astrocytes","24hrvs1hr_PTZ","Down"
3.41684949087891e-07,-0.323276604014003,0.474,0.672,0.00801012026146743,"Sgcz","Astrocytes","24hrvs1hr_PTZ","Down"
3.48248620349233e-07,-0.053464925987315,0.551,0.753,0.00816399240684708,"Cntnap5a","Astrocytes","24hrvs1hr_PTZ","Down"
3.51393023643252e-07,-0.32064979667035,0.579,0.779,0.00823770665326875,"Tmeff2","Astrocytes","24hrvs1hr_PTZ","Down"
3.63631797080804e-07,-0.240247006094851,0.681,0.874,0.00852462021896529,"Kcnq3","Astrocytes","24hrvs1hr_PTZ","Down"
3.68940277934808e-07,-0.15259643884472,0.759,0.955,0.00864906693562571,"Rian","Astrocytes","24hrvs1hr_PTZ","Down"
3.76380362031318e-07,-0.293623719441574,0.562,0.765,0.00882348482710019,"Gria4","Astrocytes","24hrvs1hr_PTZ","Down"
3.83451545909357e-07,-0.340509401138766,0.812,0.969,0.00898925459075306,"Lingo2","Astrocytes","24hrvs1hr_PTZ","Down"
3.9915550857807e-07,1.14254627753176,0.26,0.116,0.00935740258759569,"Ppp1r14c","Astrocytes","24hrvs1hr_PTZ","Up"
4.15310566095764e-07,0.694591557700437,0.573,0.382,0.009736125600983,"Fnbp1","Astrocytes","24hrvs1hr_PTZ","Up"
4.40081944437971e-07,1.05403886610294,0.291,0.138,0.0103168410234594,"Leng9","Astrocytes","24hrvs1hr_PTZ","Up"
4.51387821831526e-07,1.10812298585047,0.313,0.162,0.0105818847071965,"Ston2","Astrocytes","24hrvs1hr_PTZ","Up"
4.58116184630991e-07,0.517336423791667,0.657,0.439,0.0107396177163043,"Nedd4","Astrocytes","24hrvs1hr_PTZ","Up"
4.63321347796995e-07,-0.421542491980313,0.698,0.9,0.010861642356405,"Kcnj3","Astrocytes","24hrvs1hr_PTZ","Down"
4.90445494748873e-07,0.695164765197535,0.482,0.292,0.0114975137333978,"Fam49b","Astrocytes","24hrvs1hr_PTZ","Up"
5.35099858286219e-07,1.01946098611394,0.449,0.28,0.0125443459778038,"Tcf7l2","Astrocytes","24hrvs1hr_PTZ","Up"
5.51718355705873e-07,-0.10990368522385,0.665,0.884,0.0129339334128128,"Trpm3","Astrocytes","24hrvs1hr_PTZ","Down"
6.60230195442007e-07,-0.464841569371162,0.518,0.708,0.015477776471747,"Khdrbs2","Astrocytes","24hrvs1hr_PTZ","Down"
7.0483747621095e-07,1.04534699884568,0.26,0.119,0.0165235049548133,"Trerf1","Astrocytes","24hrvs1hr_PTZ","Up"
7.06968477512837e-07,-0.379743876251529,0.634,0.786,0.0165734620183334,"Cdh11","Astrocytes","24hrvs1hr_PTZ","Down"
8.86359708858277e-07,-0.354846710994174,0.734,0.905,0.0207789306547646,"Cntn1","Astrocytes","24hrvs1hr_PTZ","Down"
1.13708910416391e-06,-0.720283874315851,0.429,0.563,0.0266567798689144,"Mfge8","Astrocytes","24hrvs1hr_PTZ","Down"
1.19706715917574e-06,1.05569221505167,0.266,0.124,0.028062845412557,"Ccdc141","Astrocytes","24hrvs1hr_PTZ","Up"
1.33282906958863e-06,0.667968664496703,0.399,0.219,0.0312455118783663,"Cblb","Astrocytes","24hrvs1hr_PTZ","Up"
1.51327340884979e-06,-0.794211128903373,0.432,0.556,0.0354756685236656,"Fgfr3","Astrocytes","24hrvs1hr_PTZ","Down"
1.52477258842261e-06,-0.243077273127547,0.643,0.841,0.0357452437903912,"Mctp1","Astrocytes","24hrvs1hr_PTZ","Down"
1.59928781687331e-06,-0.547535253686325,0.526,0.689,0.0374921042909611,"Sgcd","Astrocytes","24hrvs1hr_PTZ","Down"
1.60241214163759e-06,0.7963774638775,0.283,0.135,0.03756534783641,"Eri3","Astrocytes","24hrvs1hr_PTZ","Up"
1.90805504787941e-06,-0.411350235656708,0.49,0.694,0.0447305344874371,"Cacna1b","Astrocytes","24hrvs1hr_PTZ","Down"
1.94056464160133e-06,-0.214950851549849,0.701,0.886,0.0454926568930601,"Ptprn2","Astrocytes","24hrvs1hr_PTZ","Down"
1.94711417952647e-06,-0.383369250347085,0.997,0.998,0.0456461977106391,"Qk","Astrocytes","24hrvs1hr_PTZ","Down"
2.05232112612417e-06,-0.426920972031173,0.507,0.691,0.048112564159729,"Khdrbs3","Astrocytes","24hrvs1hr_PTZ","Down"
2.11066708742549e-06,0.693091939764007,0.352,0.19,0.0494803685305158,"Ints6","Astrocytes","24hrvs1hr_PTZ","Up"
2.12326284074507e-06,-0.132324561847883,0.723,0.914,0.0497756507755868,"Sntg1","Astrocytes","24hrvs1hr_PTZ","Down"
2.95757669083655e-32,-0.907229068041141,1,1,6.93344703632813e-28,"Gm42418","Astrocytes","24hrvs1hr_SAL","Down"
9.39229876581707e-27,-1.68623135086217,0.305,0.757,2.2018365996705e-22,"Pak3","Astrocytes","24hrvs1hr_SAL","Down"
5.88720115052461e-26,-1.94820351288542,0.194,0.638,1.38013656571748e-21,"Cdh12","Astrocytes","24hrvs1hr_SAL","Down"
7.69192170925603e-26,-1.11233593603187,0.779,0.983,1.80321720630089e-21,"Snhg11","Astrocytes","24hrvs1hr_SAL","Down"
1.26401501341397e-25,-1.46054055420226,0.429,0.842,2.96323039594638e-21,"Khdrbs2","Astrocytes","24hrvs1hr_SAL","Down"
9.94476133992355e-25,-1.75297268237152,0.231,0.667,2.33135040091828e-20,"Plppr4","Astrocytes","24hrvs1hr_SAL","Down"
1.16335670996987e-24,-1.04748597839357,0.908,0.994,2.72725713518236e-20,"Meg3","Astrocytes","24hrvs1hr_SAL","Down"
2.91119263566266e-24,-0.959860336366715,0.865,0.977,6.82470889578397e-20,"Lrfn5","Astrocytes","24hrvs1hr_SAL","Down"
5.50100094699632e-24,-0.945647758184985,0.716,0.932,1.28959965200435e-19,"Frmpd4","Astrocytes","24hrvs1hr_SAL","Down"
9.90210149183039e-24,-1.01712696393523,0.538,0.887,2.3213496527298e-19,"Pde1a","Astrocytes","24hrvs1hr_SAL","Down"
1.15248048863657e-23,-0.919266671763104,0.691,0.938,2.70176000951071e-19,"Cacna1e","Astrocytes","24hrvs1hr_SAL","Down"
1.89014987872273e-23,-0.812263515224529,0.779,0.96,4.43107836068969e-19,"Rian","Astrocytes","24hrvs1hr_SAL","Down"
3.23334299814664e-23,-0.92261881307504,0.859,0.983,7.57992599055518e-19,"Syt1","Astrocytes","24hrvs1hr_SAL","Down"
6.23711039082272e-23,-1.11788360334437,0.393,0.814,1.46216578892057e-18,"Cacna1b","Astrocytes","24hrvs1hr_SAL","Down"
6.53316719495708e-23,-1.01994439325913,0.548,0.893,1.53157038551379e-18,"Tenm1","Astrocytes","24hrvs1hr_SAL","Down"
7.65296982399566e-23,-1.40613727150819,0.311,0.746,1.7940857158393e-18,"Slc24a2","Astrocytes","24hrvs1hr_SAL","Down"
8.27537311761045e-23,-0.955138107923438,0.562,0.898,1.93999571996142e-18,"Cdr1os","Astrocytes","24hrvs1hr_SAL","Down"
9.05736447603264e-23,-1.41412207125426,0.301,0.746,2.12331795411633e-18,"Unc80","Astrocytes","24hrvs1hr_SAL","Down"
1.02890336200619e-22,-0.93195613346836,0.599,0.893,2.41205815155112e-18,"Slc4a10","Astrocytes","24hrvs1hr_SAL","Down"
1.10215682260546e-22,-0.903856130779339,0.703,0.921,2.58378623923398e-18,"Kctd16","Astrocytes","24hrvs1hr_SAL","Down"
1.11320016252106e-22,-1.50780851012537,0.278,0.712,2.60967514099812e-18,"Zfp804a","Astrocytes","24hrvs1hr_SAL","Down"
1.54489452203745e-22,-0.935982118909226,0.573,0.881,3.6216962280124e-18,"Snap25","Astrocytes","24hrvs1hr_SAL","Down"
2.26638450289358e-22,-1.02696702903378,0.753,0.949,5.31308519013343e-18,"Grin2a","Astrocytes","24hrvs1hr_SAL","Down"
2.27161792848183e-22,-1.27005030834258,0.538,0.859,5.32535390973996e-18,"Cntn4","Astrocytes","24hrvs1hr_SAL","Down"
2.69509833188788e-22,-0.914066222181807,0.63,0.887,6.31811901944475e-18,"Hcn1","Astrocytes","24hrvs1hr_SAL","Down"
2.87822326142209e-22,-1.33935127441426,0.305,0.74,6.7474187917518e-18,"Gabrb2","Astrocytes","24hrvs1hr_SAL","Down"
3.40355907697035e-22,-1.22100682703345,0.677,0.927,7.97896354414158e-18,"Tuba1a","Astrocytes","24hrvs1hr_SAL","Down"
5.5604846405666e-22,-1.09834952661908,0.448,0.825,1.30354441428803e-17,"Gria3","Astrocytes","24hrvs1hr_SAL","Down"
8.54516120529695e-22,-0.952649762549561,0.959,0.994,2.00324214135776e-17,"Nrg3","Astrocytes","24hrvs1hr_SAL","Down"
1.32896104083369e-21,-1.12026691611885,0.425,0.814,3.11548336802642e-17,"Khdrbs3","Astrocytes","24hrvs1hr_SAL","Down"
1.72594968646424e-21,-1.12856804517234,0.411,0.785,4.04614384997813e-17,"Caln1","Astrocytes","24hrvs1hr_SAL","Down"
2.12775440311189e-21,-1.04912879149663,0.474,0.836,4.9880946472152e-17,"Cacnb4","Astrocytes","24hrvs1hr_SAL","Down"
2.90533173046507e-21,-0.926033887056093,0.906,0.994,6.81096917572926e-17,"Fam155a","Astrocytes","24hrvs1hr_SAL","Down"
3.83884835756739e-21,-1.12200263343359,0.861,0.966,8.99941220464523e-17,"Lingo2","Astrocytes","24hrvs1hr_SAL","Down"
4.33160780273813e-21,-1.26708236855739,0.378,0.768,1.0154588171959e-16,"A230006K03Rik","Astrocytes","24hrvs1hr_SAL","Down"
5.08867115476973e-21,-1.6876867692724,0.213,0.616,1.19293717881267e-16,"Fam189a1","Astrocytes","24hrvs1hr_SAL","Down"
5.93806922737711e-21,-1.05679032776936,0.947,0.994,1.39206156897402e-16,"Dlg2","Astrocytes","24hrvs1hr_SAL","Down"
6.63917251990038e-21,-1.45145485393596,0.44,0.797,1.55642121384025e-16,"Unc5d","Astrocytes","24hrvs1hr_SAL","Down"
7.61240847344008e-21,-0.819232875307853,0.744,0.944,1.78457691842856e-16,"Cnksr2","Astrocytes","24hrvs1hr_SAL","Down"
8.8079219962715e-21,-0.913497785537165,0.513,0.853,2.06484115358593e-16,"Pcsk2","Astrocytes","24hrvs1hr_SAL","Down"
9.27294124086937e-21,-3.38810915425695,0.035,0.277,2.17385561509701e-16,"Ubb","Astrocytes","24hrvs1hr_SAL","Down"
1.11268825863708e-20,-1.46236841123502,0.249,0.644,2.60847508472292e-16,"Hecw2","Astrocytes","24hrvs1hr_SAL","Down"
1.12512802177039e-20,-1.22121795176932,0.836,0.966,2.63763762143632e-16,"Galntl6","Astrocytes","24hrvs1hr_SAL","Down"
1.19690364989174e-20,-0.787533893710641,0.65,0.893,2.80590122644121e-16,"Nell2","Astrocytes","24hrvs1hr_SAL","Down"
4.02161145766061e-20,-1.20304903328128,0.317,0.729,9.42786374019377e-16,"Syt16","Astrocytes","24hrvs1hr_SAL","Down"
4.76553656820369e-20,-0.718754967825196,0.894,0.977,1.11718473768399e-15,"Grm7","Astrocytes","24hrvs1hr_SAL","Down"
1.21125584183587e-19,-0.732682149160625,0.855,0.977,2.83954707001582e-15,"Xkr4","Astrocytes","24hrvs1hr_SAL","Down"
1.28968338753995e-19,-0.689070980944095,0.767,0.949,3.0234047654099e-15,"Dlgap2","Astrocytes","24hrvs1hr_SAL","Down"
1.94321967098186e-19,-1.15011321245993,0.399,0.785,4.55548987468278e-15,"Dock9","Astrocytes","24hrvs1hr_SAL","Down"
2.66004692756637e-19,-0.748536004395386,0.699,0.915,6.23594801229385e-15,"Ptprn2","Astrocytes","24hrvs1hr_SAL","Down"
2.77214420301599e-19,-0.449344623552659,0.54,0.859,6.49873765513037e-15,"Gria4","Astrocytes","24hrvs1hr_SAL","Down"
3.50338249040057e-19,-1.1004438059403,0.945,0.994,8.21297957224605e-15,"Tenm2","Astrocytes","24hrvs1hr_SAL","Down"
4.4514281367724e-19,-0.998661510763235,0.814,0.949,1.04354829810355e-14,"Epha6","Astrocytes","24hrvs1hr_SAL","Down"
6.21044726316979e-19,-0.60920341797642,0.665,0.904,1.45591515190489e-14,"Ryr3","Astrocytes","24hrvs1hr_SAL","Down"
7.0790614803047e-19,-1.5017699994609,0.194,0.565,1.65954438282783e-14,"Dync1i1","Astrocytes","24hrvs1hr_SAL","Down"
8.47256411535624e-19,-1.56393824768847,0.227,0.605,1.98622320556296e-14,"Thsd7b","Astrocytes","24hrvs1hr_SAL","Down"
9.87236424787071e-19,-1.36899556338907,0.213,0.605,2.31437835062833e-14,"Rbfox3","Astrocytes","24hrvs1hr_SAL","Down"
1.00442150034775e-18,-0.724760067093997,0.724,0.927,2.35466532326524e-14,"Stxbp5l","Astrocytes","24hrvs1hr_SAL","Down"
1.17275680700456e-18,-1.02405118757279,0.378,0.751,2.74929378266079e-14,"B830012L14Rik","Astrocytes","24hrvs1hr_SAL","Down"
1.39139437495323e-18,-0.59490951545556,0.888,0.989,3.26184583320286e-14,"Ank3","Astrocytes","24hrvs1hr_SAL","Down"
2.31354572364548e-18,-0.863974085621439,0.47,0.825,5.42364523994209e-14,"Zfp385b","Astrocytes","24hrvs1hr_SAL","Down"
2.70242657283635e-18,-0.705283035040501,0.716,0.944,6.33529861470026e-14,"Sntg1","Astrocytes","24hrvs1hr_SAL","Down"
4.25107861244717e-18,-0.862436707122071,0.855,0.972,9.96580359115991e-14,"Ralyl","Astrocytes","24hrvs1hr_SAL","Down"
4.60467242061947e-18,-0.56908843877574,0.812,0.938,1.07947335556582e-13,"Gm26871","Astrocytes","24hrvs1hr_SAL","Down"
4.88053682409389e-18,-1.21660864450694,0.36,0.746,1.14414424767233e-13,"Runx1t1","Astrocytes","24hrvs1hr_SAL","Down"
6.41415027049924e-18,-0.612316258682627,0.81,0.972,1.50366924791314e-13,"5730522E02Rik","Astrocytes","24hrvs1hr_SAL","Down"
7.79914714807446e-18,-0.640617000556387,0.855,0.972,1.8283540659231e-13,"Ppfia2","Astrocytes","24hrvs1hr_SAL","Down"
1.16147798964771e-17,-0.925216815547696,0.454,0.785,2.72285285113112e-13,"Chrm3","Astrocytes","24hrvs1hr_SAL","Down"
1.21013100653821e-17,-1.16427911729962,0.266,0.65,2.83691011862752e-13,"Nell1","Astrocytes","24hrvs1hr_SAL","Down"
1.32878148896841e-17,-1.01161277622326,0.851,0.977,3.11506244458863e-13,"AY036118","Astrocytes","24hrvs1hr_SAL","Down"
1.37747634385876e-17,-0.824386118478815,0.501,0.836,3.2292177929081e-13,"Celf4","Astrocytes","24hrvs1hr_SAL","Down"
1.39308438952335e-17,-0.870612027515051,0.9,0.972,3.26580773435958e-13,"Csmd3","Astrocytes","24hrvs1hr_SAL","Down"
1.55029252568471e-17,-0.591557262589856,0.83,0.977,3.63435076796266e-13,"Gabrb3","Astrocytes","24hrvs1hr_SAL","Down"
2.12733699252199e-17,-0.696681204149053,0.885,0.994,4.9871161115693e-13,"March1","Astrocytes","24hrvs1hr_SAL","Down"
2.63489922405843e-17,-0.615606098215465,0.787,0.955,6.17699425096019e-13,"Kcnb2","Astrocytes","24hrvs1hr_SAL","Down"
3.34500748264989e-17,-0.657767890592617,0.712,0.91,7.84170104157614e-13,"Slit3","Astrocytes","24hrvs1hr_SAL","Down"
3.57897437865502e-17,-1.71725885136678,0.162,0.497,8.39018963588097e-13,"Epha3","Astrocytes","24hrvs1hr_SAL","Down"
3.67903680154121e-17,-1.19790440549617,0.372,0.751,8.62476597385306e-13,"Otud7a","Astrocytes","24hrvs1hr_SAL","Down"
8.41738618972426e-17,-0.822892886541357,0.591,0.853,1.97328784445706e-12,"Tafa1","Astrocytes","24hrvs1hr_SAL","Down"
9.04210344795677e-17,-0.829117140769064,0.503,0.842,2.11974031130451e-12,"Hecw1","Astrocytes","24hrvs1hr_SAL","Down"
1.43150281100347e-16,-0.67929748876032,0.493,0.814,3.35587203983544e-12,"Cntnap5a","Astrocytes","24hrvs1hr_SAL","Down"
1.52696317643128e-16,-0.657449710791863,0.597,0.859,3.57965977450785e-12,"Dscam","Astrocytes","24hrvs1hr_SAL","Down"
1.79041068455977e-16,-0.851487499322889,0.616,0.864,4.19725976781347e-12,"Asic2","Astrocytes","24hrvs1hr_SAL","Down"
1.8305054003209e-16,-0.532555658445255,0.728,0.955,4.29125380997228e-12,"Cntn1","Astrocytes","24hrvs1hr_SAL","Down"
1.97579550739632e-16,-0.706830281149422,0.93,0.994,4.6318574079892e-12,"Snhg14","Astrocytes","24hrvs1hr_SAL","Down"
3.00000773487633e-16,-0.813688939753774,0.926,0.989,7.03291813287058e-12,"Nav3","Astrocytes","24hrvs1hr_SAL","Down"
3.02489365342635e-16,-0.779016665399743,0.483,0.825,7.09125819172738e-12,"Pak7","Astrocytes","24hrvs1hr_SAL","Down"
3.78667111946212e-16,-0.84955600206811,0.72,0.898,8.87709310535505e-12,"Cntn5","Astrocytes","24hrvs1hr_SAL","Down"
4.58572660327413e-16,-0.863714292873144,0.528,0.836,1.07503188760555e-11,"Scn2a","Astrocytes","24hrvs1hr_SAL","Down"
4.66372424255924e-16,-1.65365754137358,0.155,0.475,1.09331687418316e-11,"Pfkp","Astrocytes","24hrvs1hr_SAL","Down"
4.85605193953376e-16,-0.866527819623667,0.626,0.87,1.1384042561849e-11,"Trpm3","Astrocytes","24hrvs1hr_SAL","Down"
5.08340289506905e-16,-0.937440364839674,0.321,0.689,1.19170214069104e-11,"Gm49678","Astrocytes","24hrvs1hr_SAL","Down"
5.47538852211579e-16,-1.47759296608642,0.18,0.514,1.28359533123961e-11,"Nalcn","Astrocytes","24hrvs1hr_SAL","Down"
7.15829856915957e-16,-1.32392312325284,0.217,0.565,1.67811993356808e-11,"Cers6","Astrocytes","24hrvs1hr_SAL","Down"
7.67853669343652e-16,-0.702441105402668,0.916,0.989,1.80007935704232e-11,"Ccser1","Astrocytes","24hrvs1hr_SAL","Down"
8.20210774279381e-16,-0.57713406109828,0.933,0.994,1.92282011814315e-11,"Anks1b","Astrocytes","24hrvs1hr_SAL","Down"
1.31985516521868e-15,-1.19952837920229,0.243,0.599,3.09413646382216e-11,"Pde4dip","Astrocytes","24hrvs1hr_SAL","Down"
1.38659744916935e-15,-1.25720056446152,0.313,0.684,3.25060040008772e-11,"Galnt17","Astrocytes","24hrvs1hr_SAL","Down"
