"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
7.09489976376524e-73,-1.25993741900617,1,1,1.66325735161948e-68,"Gm42418","Astrocytes","24hrvs1hr_PTZ","Down"
3.9051954285356e-38,-1.44513010865983,0.759,0.955,9.15494964311602e-34,"Cwc22","Astrocytes","24hrvs1hr_PTZ","Down"
6.77149190399686e-27,-0.984425187250955,0.803,0.957,1.58744084705398e-22,"AY036118","Astrocytes","24hrvs1hr_PTZ","Down"
1.3456162516787e-26,-1.00096566999972,0.895,0.957,3.15452817881037e-22,"Cst3","Astrocytes","24hrvs1hr_PTZ","Down"
3.51031732206083e-21,-0.69503642788376,0.928,0.981,8.22923689810721e-17,"Slc1a3","Astrocytes","24hrvs1hr_PTZ","Down"
8.71685723171972e-21,-0.941515088805939,0.812,0.924,2.04349284083205e-16,"Sparcl1","Astrocytes","24hrvs1hr_PTZ","Down"
2.3684386492918e-15,-1.94106731491775,0.233,0.454,5.55233072553476e-11,"Azin1","Astrocytes","24hrvs1hr_PTZ","Down"
1.94158932481374e-14,-0.557924240713522,0.992,0.998,4.55166785416084e-10,"Gpm6a","Astrocytes","24hrvs1hr_PTZ","Down"
4.28440807831419e-14,-0.634024582318466,0.92,0.974,1.0043937857992e-09,"Cpe","Astrocytes","24hrvs1hr_PTZ","Down"
6.17259762460657e-14,-0.876310673107776,0.784,0.895,1.44704206113652e-09,"Kcnn2","Astrocytes","24hrvs1hr_PTZ","Down"
1.17479022544987e-12,-0.69813718265029,0.632,0.834,2.75406072552213e-08,"Atp1b1","Astrocytes","24hrvs1hr_PTZ","Down"
3.7301061099888e-11,1.42662855264134,0.421,0.202,8.74448775364674e-07,"Tnfaip8","Astrocytes","24hrvs1hr_PTZ","Up"
3.8392490806197e-11,-2.16002497239185,0.083,0.261,9.00035161969676e-07,"Mt1","Astrocytes","24hrvs1hr_PTZ","Down"
4.66881542746833e-11,-0.242960481990069,0.698,0.931,1.0945104006614e-06,"Frmpd4","Astrocytes","24hrvs1hr_PTZ","Down"
5.05115016500523e-11,-0.635248348784605,0.942,0.96,1.18414113318218e-06,"Apoe","Astrocytes","24hrvs1hr_PTZ","Down"
7.89678838331555e-11,-0.743665049640086,0.479,0.71,1.85124410070066e-06,"Unc5d","Astrocytes","24hrvs1hr_PTZ","Down"
8.08904828051248e-11,-0.53078846950386,0.604,0.848,1.89631558840054e-06,"Slc4a10","Astrocytes","24hrvs1hr_PTZ","Down"
1.05916082369574e-10,-0.624137700475979,0.765,0.91,2.48299071898993e-06,"Tuba1a","Astrocytes","24hrvs1hr_PTZ","Down"
1.91020450944219e-10,-0.402718638954518,0.729,0.962,4.47809243148532e-06,"Cnksr2","Astrocytes","24hrvs1hr_PTZ","Down"
2.51892220934398e-10,-0.928790051289823,0.62,0.701,5.90510933536509e-06,"Scd2","Astrocytes","24hrvs1hr_PTZ","Down"
2.90896240687865e-10,1.18793691313407,0.352,0.15,6.81948057044562e-06,"Dpf3","Astrocytes","24hrvs1hr_PTZ","Up"
2.96805443330992e-10,-0.256114928626034,0.596,0.827,6.95801000800846e-06,"Dpp10","Astrocytes","24hrvs1hr_PTZ","Down"
7.65064674251877e-10,-1.05057520693866,0.407,0.58,1.79354111584868e-05,"Gja1","Astrocytes","24hrvs1hr_PTZ","Down"
9.65617889206049e-10,-0.275843716133303,0.64,0.865,2.26369801766574e-05,"Hcn1","Astrocytes","24hrvs1hr_PTZ","Down"
1.24468331994376e-09,-0.480047394156451,0.623,0.831,2.91791110694416e-05,"Snap25","Astrocytes","24hrvs1hr_PTZ","Down"
1.53430944549761e-09,-0.141976484508817,0.751,0.945,3.59688163308005e-05,"Snhg11","Astrocytes","24hrvs1hr_PTZ","Down"
1.59391305205762e-09,-0.644285764570186,0.684,0.812,3.73661036793867e-05,"Slco1c1","Astrocytes","24hrvs1hr_PTZ","Down"
2.33918718435575e-09,-0.419758943184038,0.612,0.838,5.48375651628518e-05,"Asic2","Astrocytes","24hrvs1hr_PTZ","Down"
2.365939445254e-09,-0.418185498611369,0.587,0.812,5.54647184150894e-05,"Cdr1os","Astrocytes","24hrvs1hr_PTZ","Down"
3.45630196468846e-09,1.42956554308691,0.291,0.119,8.10260869581915e-05,"Pik3r3","Astrocytes","24hrvs1hr_PTZ","Up"
3.64221964975301e-09,-0.304277648155166,0.56,0.791,8.53845552491598e-05,"Cntn4","Astrocytes","24hrvs1hr_PTZ","Down"
3.95471113584458e-09,-0.539716052263104,0.463,0.667,9.27102931576046e-05,"A230006K03Rik","Astrocytes","24hrvs1hr_PTZ","Down"
4.48939922246245e-09,-0.34087336520241,0.734,0.926,0.000105244985972187,"Cacna2d1","Astrocytes","24hrvs1hr_PTZ","Down"
5.40223562941393e-09,-0.542157120470985,0.784,0.891,0.000126644609860351,"Ptbp2","Astrocytes","24hrvs1hr_PTZ","Down"
6.35354507451015e-09,0.920438115384983,0.349,0.154,0.000148946157181741,"Mbtd1","Astrocytes","24hrvs1hr_PTZ","Up"
6.98264140672022e-09,-0.421555810144697,0.565,0.779,0.000163694062497742,"Scn2a","Astrocytes","24hrvs1hr_PTZ","Down"
1.06388294377359e-08,-0.969577923229746,0.537,0.665,0.000249406078508844,"Clu","Astrocytes","24hrvs1hr_PTZ","Down"
1.14113151287501e-08,-0.410410454320258,0.698,0.933,0.000267515460563288,"Kctd16","Astrocytes","24hrvs1hr_PTZ","Down"
1.19170071252558e-08,-0.595974231763901,0.886,0.96,0.000279370398037373,"Ntrk2","Astrocytes","24hrvs1hr_PTZ","Down"
1.27296817720741e-08,-0.40478927969437,0.54,0.76,0.000298421929782733,"Celf4","Astrocytes","24hrvs1hr_PTZ","Down"
1.81591713086118e-08,-0.856542108245974,0.305,0.48,0.000425705452987787,"Mlc1","Astrocytes","24hrvs1hr_PTZ","Down"
2.01608659778111e-08,-0.287046438390105,0.571,0.786,0.000472631181117826,"Pde1a","Astrocytes","24hrvs1hr_PTZ","Down"
2.5003541673804e-08,0.702287805119743,0.488,0.271,0.000586158027458988,"Pou2f1","Astrocytes","24hrvs1hr_PTZ","Up"
2.5351867206241e-08,1.04214773427083,0.28,0.114,0.000594323822915908,"Fam222b","Astrocytes","24hrvs1hr_PTZ","Up"
3.33235389867075e-08,-0.241271836117037,0.751,0.957,0.000781203724465383,"Grin2a","Astrocytes","24hrvs1hr_PTZ","Down"
3.88134994878205e-08,0.64619272131492,0.853,0.767,0.000909904868492975,"Grm3","Astrocytes","24hrvs1hr_PTZ","Up"
4.30339303392602e-08,-1.48264700384895,0.155,0.306,0.00100884442894328,"Ppia","Astrocytes","24hrvs1hr_PTZ","Down"
4.46677861757753e-08,0.952104803694142,0.31,0.14,0.0010471469113187,"Samd4","Astrocytes","24hrvs1hr_PTZ","Up"
6.38402629263503e-08,-0.424435778538808,0.543,0.77,0.00149660728378243,"Brinp1","Astrocytes","24hrvs1hr_PTZ","Down"
6.69770936999318e-08,1.36177668176346,0.324,0.164,0.0015701440076075,"Tcf7l1","Astrocytes","24hrvs1hr_PTZ","Up"
8.28930661313026e-08,0.548904564427018,0.729,0.515,0.00194326214931613,"Pitpnc1","Astrocytes","24hrvs1hr_PTZ","Up"
1.07630328189763e-07,0.711098357630881,0.504,0.297,0.00252317778375263,"Klf7","Astrocytes","24hrvs1hr_PTZ","Up"
1.34024145889192e-07,0.669257890812015,0.576,0.38,0.00314192805208032,"Zfp608","Astrocytes","24hrvs1hr_PTZ","Up"
1.46521969543093e-07,0.732871453318941,0.402,0.207,0.00343491453199873,"Ago3","Astrocytes","24hrvs1hr_PTZ","Up"
1.5001587703073e-07,-1.15877144507218,0.388,0.511,0.00351682220523139,"Htra1","Astrocytes","24hrvs1hr_PTZ","Down"
1.61949710552605e-07,-0.843089275373926,0.454,0.627,0.00379658706448471,"Pde10a","Astrocytes","24hrvs1hr_PTZ","Down"
