"Comparison","Pearson_Correlation","Pearson_p_value","LM_p_value"
"24hrvs1hr_PTZ",0.41860972893738,0.175622191433217,0.175622191433217
"24hrvs1hr_SAL",0.604419874989803,0.0373680856901985,0.0373680856901985
"PTZvsSAL_1hr",0.626142182148945,0.0293906185616478,0.0293906185616478
"PTZvsSAL_24hr",0.261987419554314,0.410741877774143,0.410741877774143
