pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_OXIDATIVE_PHOSPHORYLATION,0.0447042130985185,0.0447042130985185,0.321775918075361,1,1.78359170124702,5,mt-Nd1|mt-Atp6|mt-Co3|mt-Co2|mt-Co1
KEGG_PARKINSONS_DISEASE,0.0447042130985185,0.0447042130985185,0.321775918075361,1,1.78359170124702,5,mt-Nd1|mt-Atp6|mt-Co3|mt-Co2|mt-Co1
