pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.0828125,0.33125,0.193813302725311,-0.643056815451107,-1.45178472649041,5,mt-Co1|Atp1b1|mt-Co3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.208219178082192,0.416438356164384,0.159646701919906,0.506493506493507,1.24510139539475,5,Chrm3|Grin2a|Gabrg3|Grin2b|Gabra2
KEGG_AXON_GUIDANCE,0.838612368024133,0.958904109589041,0.0408229003677776,-0.277391777044876,-0.692702650796645,7,Nrp1|Epha3
KEGG_CALCIUM_SIGNALING_PATHWAY,0.958904109589041,0.958904109589041,0.062249042949858,0.220779220779221,0.54273650568489,5,Atp2b1|Chrm3|Grin2a
