pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_OXIDATIVE_PHOSPHORYLATION,0.0918727915194346,0.0918727915194346,0.195789002148949,0.75,1.50248891073261,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
KEGG_PARKINSONS_DISEASE,0.0918727915194346,0.0918727915194346,0.195789002148949,0.75,1.50248891073261,6,mt-Nd1|mt-Cytb|mt-Nd4|mt-Co3|mt-Co2|mt-Atp6
