gene,frequency,go_terms
Atp1b1,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Cfl1,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Calm1,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Ndufa4,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Trpc6,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Dnm2,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Cacng3,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
Cacng2,2,"positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.61e-02); positive regulation of transporter activity (GO:0032411, p=2.34e-02)"
