gene,frequency,go_terms
Atp1b1,1,"positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.76e-02)"
Cacna1d,1,"positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.76e-02)"
Calm1,1,"positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.76e-02)"
Fgf14,1,"positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.76e-02)"
