gene,frequency,go_terms
Snrnp70,3,"regulation of mRNA splicing, via spliceosome (GO:0048024, p=8.08e-03); regulation of mRNA processing (GO:0050684, p=1.24e-02); regulation of RNA splicing (GO:0043484, p=2.37e-02)"
Ddx5,3,"regulation of mRNA splicing, via spliceosome (GO:0048024, p=8.08e-03); regulation of mRNA processing (GO:0050684, p=1.24e-02); regulation of RNA splicing (GO:0043484, p=2.37e-02)"
