gene,frequency,go_terms
Snrnp70,7,"RNA splicing, via transesterification reactions (GO:0000375, p=2.90e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.90e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.90e-03); RNA splicing (GO:0008380, p=6.87e-03); mRNA processing (GO:0006397, p=8.59e-03); positive regulation of mRNA splicing, via spliceosome (GO:0048026, p=3.98e-02); positive regulation of mRNA processing (GO:0050685, p=4.86e-02)"
Cwc22,5,"RNA splicing, via transesterification reactions (GO:0000375, p=2.90e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.90e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.90e-03); RNA splicing (GO:0008380, p=6.87e-03); mRNA processing (GO:0006397, p=8.59e-03)"
