gene,frequency,go_terms
Gpc5,2,"positive regulation of canonical Wnt signaling pathway (GO:0090263, p=6.21e-03); positive regulation of Wnt signaling pathway (GO:0030177, p=1.77e-02)"
Sulf2,2,"positive regulation of canonical Wnt signaling pathway (GO:0090263, p=6.21e-03); positive regulation of Wnt signaling pathway (GO:0030177, p=1.77e-02)"
Zeb2,2,"positive regulation of canonical Wnt signaling pathway (GO:0090263, p=6.21e-03); positive regulation of Wnt signaling pathway (GO:0030177, p=1.77e-02)"
Kank1,2,"positive regulation of canonical Wnt signaling pathway (GO:0090263, p=6.21e-03); positive regulation of Wnt signaling pathway (GO:0030177, p=1.77e-02)"
