gene,frequency,go_terms
Grin2a,12,"learning (GO:0007612, p=2.69e-04); associative learning (GO:0008306, p=1.78e-03); startle response (GO:0001964, p=2.26e-03); learning or memory (GO:0007611, p=3.56e-03); cognition (GO:0050890, p=5.99e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.78e-02); visual learning (GO:0008542, p=1.93e-02); visual behavior (GO:0007632, p=2.18e-02); locomotory behavior (GO:0007626, p=3.52e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.75e-02); regulation of transmembrane transporter activity (GO:0022898, p=4.23e-02); regulation of transporter activity (GO:0032409, p=4.95e-02)"
Tuba1a,8,"learning (GO:0007612, p=2.69e-04); associative learning (GO:0008306, p=1.78e-03); startle response (GO:0001964, p=2.26e-03); learning or memory (GO:0007611, p=3.56e-03); cognition (GO:0050890, p=5.99e-03); visual learning (GO:0008542, p=1.93e-02); visual behavior (GO:0007632, p=2.18e-02); locomotory behavior (GO:0007626, p=3.52e-02)"
Grm5,8,"learning (GO:0007612, p=2.69e-04); learning or memory (GO:0007611, p=3.56e-03); cognition (GO:0050890, p=5.99e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.78e-02); locomotory behavior (GO:0007626, p=3.52e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.75e-02); regulation of transmembrane transporter activity (GO:0022898, p=4.23e-02); regulation of transporter activity (GO:0032409, p=4.95e-02)"
Cacna1e,8,"learning (GO:0007612, p=2.69e-04); associative learning (GO:0008306, p=1.78e-03); learning or memory (GO:0007611, p=3.56e-03); cognition (GO:0050890, p=5.99e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.78e-02); visual learning (GO:0008542, p=1.93e-02); visual behavior (GO:0007632, p=2.18e-02); locomotory behavior (GO:0007626, p=3.52e-02)"
Csmd1,5,"learning (GO:0007612, p=2.69e-04); associative learning (GO:0008306, p=1.78e-03); startle response (GO:0001964, p=2.26e-03); learning or memory (GO:0007611, p=3.56e-03); cognition (GO:0050890, p=5.99e-03)"
Atp1b1,4,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.78e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.75e-02); regulation of transmembrane transporter activity (GO:0022898, p=4.23e-02); regulation of transporter activity (GO:0032409, p=4.95e-02)"
Nr3c2,4,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.78e-02); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=3.75e-02); regulation of transmembrane transporter activity (GO:0022898, p=4.23e-02); regulation of transporter activity (GO:0032409, p=4.95e-02)"
