gene,frequency,go_terms
L1cam,13,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05)"
App,12,"axonogenesis (GO:0007409, p=1.13e-14); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); locomotory behavior (GO:0007626, p=7.05e-06); cell growth (GO:0016049, p=2.02e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); adult locomotory behavior (GO:0008344, p=6.18e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Dnm2,11,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05)"
Shtn1,11,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of axon extension (GO:0030516, p=1.32e-05); regulation of axonogenesis (GO:0050770, p=1.56e-05); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of extent of cell growth (GO:0061387, p=6.33e-05)"
Robo1,10,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of axonogenesis (GO:0050770, p=1.56e-05); cell growth (GO:0016049, p=2.02e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Epha4,10,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); locomotory behavior (GO:0007626, p=7.05e-06); regulation of axonogenesis (GO:0050770, p=1.56e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); adult locomotory behavior (GO:0008344, p=6.18e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Slit3,8,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); cell growth (GO:0016049, p=2.02e-05)"
Hsp90ab1,7,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05)"
Dab1,7,"axonogenesis (GO:0007409, p=1.13e-14); locomotory behavior (GO:0007626, p=7.05e-06); regulation of axonogenesis (GO:0050770, p=1.56e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05); adult locomotory behavior (GO:0008344, p=6.18e-05); negative regulation of axonogenesis (GO:0050771, p=1.15e-04)"
Hsp90aa1,7,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); regulation of cell size (GO:0008361, p=1.96e-05); cell growth (GO:0016049, p=2.02e-05)"
Raph1,6,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); cell growth (GO:0016049, p=2.02e-05)"
Mycbp2,6,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of developmental growth (GO:0048638, p=2.53e-05); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Auts2,6,"axonogenesis (GO:0007409, p=1.13e-14); neuron projection extension (GO:1990138, p=2.20e-10); axon extension (GO:0048675, p=1.59e-09); developmental cell growth (GO:0048588, p=1.75e-09); developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09); cell growth (GO:0016049, p=2.02e-05)"
Ptpro,5,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07); regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
