gene,frequency,go_terms
Tubb2b,1,"axonogenesis (GO:0007409, p=4.67e-02)"
Mef2c,1,"axonogenesis (GO:0007409, p=4.67e-02)"
Zeb2,1,"axonogenesis (GO:0007409, p=4.67e-02)"
Chl1,1,"axonogenesis (GO:0007409, p=4.67e-02)"
Actg1,1,"axonogenesis (GO:0007409, p=4.67e-02)"
Rufy3,1,"axonogenesis (GO:0007409, p=4.67e-02)"
