gene,frequency,go_terms
Mapt,3,"protein localization to synapse (GO:0035418, p=2.49e-02); developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Hsp90aa1,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Zeb2,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Rims2,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Rufy3,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Syt4,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Ttc3,2,"developmental cell growth (GO:0048588, p=3.95e-02); developmental growth involved in morphogenesis (GO:0060560, p=4.24e-02)"
Gphn,1,"protein localization to synapse (GO:0035418, p=2.49e-02)"
Snap25,1,"protein localization to synapse (GO:0035418, p=2.49e-02)"
Nbea,1,"protein localization to synapse (GO:0035418, p=2.49e-02)"
Homer1,1,"protein localization to synapse (GO:0035418, p=2.49e-02)"
