"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Gm3764",3.40322302854359e-15,1.00060846142595,0.382,0.255,8.52405271959313e-11,"Gm3764","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Dpysl3",3.72602488920551e-15,1.19952733526852,0.317,0.187,9.33257453999305e-11,"Dpysl3","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Pfkp",4.32824055592184e-15,1.11164469269419,0.316,0.202,1.08409441204174e-10,"Pfkp","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Klhl2",4.8630242282999e-15,-1.13125501187168,0.219,0.414,1.21804167846228e-10,"Klhl2","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Gsk3b",5.03531316624467e-15,0.602010304219096,0.508,0.478,1.2611948887493e-10,"Gsk3b","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Tgfbr1",5.86441533128011e-15,1.22917561845167,0.324,0.192,1.46886010802573e-10,"Tgfbr1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Rapgef2",6.57241436718777e-15,-0.866517444457548,0.417,0.629,1.64619262654952e-10,"Rapgef2","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Grin2b",6.93702222387731e-15,0.238078687488398,0.981,0.984,1.73751595641455e-10,"Grin2b","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Dnm3",6.97165890902166e-15,0.622682317113297,0.523,0.452,1.74619140694266e-10,"Dnm3","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Akt3",9.19140445580198e-15,-0.39820693098861,0.858,0.951,2.30217107404472e-10,"Akt3","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Sema6a",1.00860518240329e-14,1.25976619730218,0.257,0.145,2.52625340036553e-10,"Sema6a","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
