"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Adarb2",1.59597035812299e-171,-4.69278394124871,0.094,0.656,3.99742695599064e-167,"Adarb2","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Gm42418",1.21329276213827e-136,-0.988580965259104,0.972,0.996,3.03893438132771e-132,"Gm42418","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Xist",1.73209483045505e-96,-6.69716139129325,0.001,0.335,4.33837792184077e-92,"Xist","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Diaph2",7.8628830876812e-90,-2.28949013477603,0.299,0.717,1.96941632697151e-85,"Diaph2","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Robo1",5.44325041838521e-76,1.19483433953983,0.872,0.588,1.36337093229294e-71,"Robo1","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Meg3",3.43992681123495e-74,0.736263828024175,0.964,0.952,8.61598468410019e-70,"Meg3","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Tanc1",8.57626270019438e-69,-2.62150443436646,0.16,0.552,2.14809651851769e-64,"Tanc1","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Rasal2",1.01547583208774e-67,-1.6118643708074,0.562,0.854,2.54346231663016e-63,"Rasal2","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
"Tcf4",1.05046024157477e-65,0.796013098016697,0.99,0.978,2.63108776707232e-61,"Tcf4","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Galntl6",2.3222407664085e-65,0.884418961778355,0.822,0.485,5.81651644762336e-61,"Galntl6","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Pcdh15",3.51848279899365e-64,1.20544254143344,0.779,0.415,8.81274386663939e-60,"Pcdh15","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Rbfox1",5.56488891562647e-64,0.621989454273855,0.994,0.995,1.39383772669696e-59,"Rbfox1","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Cacna1c",1.28671170237801e-62,0.694248184428167,0.971,0.936,3.22282680094621e-58,"Cacna1c","ExN_mDG","24hrvs1hr_PTZ","Up","Sig"
"Erc2",8.03010231542179e-62,-0.945065435326907,0.874,0.962,2.01129972694369e-57,"Erc2","ExN_mDG","24hrvs1hr_PTZ","Down","Sig"
