"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Kcnh1",6.06432506553589e-06,0.816214161389963,0.443,0.255,0.151893149916478,"Kcnh1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Sel1l3",6.13008619675212e-06,0.333614386410565,0.355,0.194,0.15354026897005,"Sel1l3","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Gm49336",6.1322452175836e-06,0.41080733521602,0.348,0.185,0.153594345964816,"Gm49336","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Rpl38",6.32935913061584e-06,-0.850529824578681,0.241,0.287,0.158531458144535,"Rpl38","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Cry2",6.35755312606916e-06,0.892404504075269,0.348,0.158,0.159237633148654,"Cry2","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Dync1h1",6.90936679672433e-06,-0.526710221493374,0.528,0.522,0.173058910157554,"Dync1h1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Trmt1",6.94523982620762e-06,-0.714755410654849,0.253,0.217,0.173957421927022,"Trmt1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Fut8",6.99407636675938e-06,-0.379164757202638,0.697,0.648,0.175180630758222,"Fut8","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Cdh9",7.04730524293263e-06,-0.421955269406957,0.327,0.405,0.176513854419734,"Cdh9","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Celf5",7.11260104901524e-06,-0.536615546333502,0.506,0.522,0.178149318474685,"Celf5","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
"Psap",7.2642221563536e-06,0.262208276421552,0.651,0.469,0.181946972350189,"Psap","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Nceh1",7.43295249695807e-06,0.853629405110325,0.26,0.111,0.186173161191309,"Nceh1","L23ExcitatoryNeurons","PTZvsSAL_1hr","Up","Sig"
"Aatk",7.53375717178324e-06,-0.605461962268254,0.295,0.258,0.188698015881655,"Aatk","L23ExcitatoryNeurons","PTZvsSAL_1hr","Down","Sig"
