"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Stxbp5l",2.85276974174907e-07,-0.493964600802629,0.848,0.908,0.0071453323721589,"Stxbp5l","MGE","24hrvs1hr_PTZ","Down","Sig"
"Taf1d",4.26328917004499e-07,0.908449742726861,0.48,0.372,0.0106782603842117,"Taf1d","MGE","24hrvs1hr_PTZ","Up","Sig"
"Ahi1",4.3566762053597e-07,0.401886045574066,0.964,0.937,0.0109121668915644,"Ahi1","MGE","24hrvs1hr_PTZ","Up","Sig"
"Xpo1",5.07270870705207e-07,-0.778293839686442,0.395,0.598,0.0127056134985533,"Xpo1","MGE","24hrvs1hr_PTZ","Down","Sig"
"5031425E22Rik",5.3266766125427e-07,0.842731080717642,0.507,0.385,0.0133417269114357,"5031425E22Rik","MGE","24hrvs1hr_PTZ","Up","Sig"
"Sst",5.33407616733911e-07,-1.14931570873994,0.386,0.523,0.0133602605763343,"Sst","MGE","24hrvs1hr_PTZ","Down","Sig"
"Hspa8",5.53747198887957e-07,-0.576065419423898,0.511,0.715,0.0138697060905467,"Hspa8","MGE","24hrvs1hr_PTZ","Down","Sig"
"2900097C17Rik",6.25147406440767e-07,-1.18737175681905,0.157,0.345,0.0156580670891219,"2900097C17Rik","MGE","24hrvs1hr_PTZ","Down","Sig"
"Ywhah",7.06027844475579e-07,-1.49607296589201,0.143,0.325,0.0176838794205798,"Ywhah","MGE","24hrvs1hr_PTZ","Down","Sig"
"Syt4",8.35779039085618e-07,-1.30199691488796,0.188,0.383,0.0209337575919775,"Syt4","MGE","24hrvs1hr_PTZ","Down","Sig"
"Ube3a",8.37874662774651e-07,0.390238411974192,0.839,0.855,0.0209862466785167,"Ube3a","MGE","24hrvs1hr_PTZ","Up","Sig"
"Gapdh",8.57696015866251e-07,-0.888547982127293,0.332,0.528,0.021482712109402,"Gapdh","MGE","24hrvs1hr_PTZ","Down","Sig"
"Mbd5",1.0974165415529e-06,-0.488661683122968,0.87,0.938,0.0274869921162755,"Mbd5","MGE","24hrvs1hr_PTZ","Down","Sig"
"Uty",1.13122346819631e-06,0.355581452223306,0.735,0.557,0.0283337542079131,"Uty","MGE","24hrvs1hr_PTZ","Up","Sig"
"Map1b",1.8014272498311e-06,0.395499238508541,0.874,0.83,0.0451203483265196,"Map1b","MGE","24hrvs1hr_PTZ","Up","Sig"
"Uchl1",1.86485606970399e-06,-0.886941746725288,0.283,0.47,0.0467090499778759,"Uchl1","MGE","24hrvs1hr_PTZ","Down","Sig"
"Zfp57",1.94454508576996e-06,0.972545952908015,0.426,0.263,0.0487050207632803,"Zfp57","MGE","24hrvs1hr_PTZ","Up","Sig"
