"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Rundc3b",1.22286134288168e-08,-0.402319273111404,0.253,0.42,0.000306290080551575,"Rundc3b","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Bmt2",1.77018187650048e-08,-0.515442548208377,0.157,0.285,0.000443377454607076,"Bmt2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Pde4b",1.96204312680371e-08,-0.31145344230926,0.392,0.587,0.000491432941970525,"Pde4b","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Agpat4",2.00145089585617e-08,-0.405649481913753,0.171,0.308,0.000501303405885096,"Agpat4","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"4930509J09Rik",2.23144602207898e-08,-0.352676611042871,0.353,0.533,0.000558910285150121,"4930509J09Rik","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"D10Wsu102e",2.75894384530795e-08,-0.370286253104085,0.253,0.411,0.000691032664934283,"D10Wsu102e","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Dgkb",2.86538412735734e-08,-0.405131816160799,0.583,0.756,0.000717692762379193,"Dgkb","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Rgl1",3.02009749800123e-08,-0.338714328278291,0.279,0.441,0.000756443820324368,"Rgl1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Gpc5",3.46716215288999e-08,-0.641205699291379,0.248,0.393,0.000868420104434357,"Gpc5","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ralyl",4.23085385281979e-08,-0.279460166882394,0.766,0.88,0.00105970196451577,"Ralyl","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Zfp644",4.34082316757222e-08,-0.496922117210461,0.233,0.38,0.00108724597878181,"Zfp644","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Pum2",4.41218526542938e-08,-0.30399351097083,0.291,0.469,0.0011051200434321,"Pum2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Itga8",4.50021216638774e-08,-0.472040510017256,0.305,0.466,0.00112716814131514,"Itga8","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
