"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Prr14l",6.61194880398402e-18,0.791433915942764,0.482,0.188,1.65609481693388e-13,"Prr14l","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rab11fip2",6.99147344874492e-18,0.892908839645406,0.41,0.139,1.75115435470714e-13,"Rab11fip2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Opcml",8.15245656558587e-18,0.488282615510935,0.994,0.918,2.04194579598229e-13,"Opcml","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm3294",8.26545967709182e-18,1.19279593954561,0.363,0.117,2.07024968532119e-13,"Gm3294","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Numb",9.33912165490556e-18,0.915758294375666,0.515,0.225,2.33916980090419e-13,"Numb","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Samd5",1.23230149425277e-17,0.652287447240252,0.709,0.39,3.08654555265492e-13,"Samd5","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Grin2a",1.46116975389515e-17,0.501636599590668,0.953,0.771,3.65979188258118e-13,"Grin2a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm45159",1.47587784044231e-17,0.690145277705459,0.611,0.29,3.69663122695586e-13,"Gm45159","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lgi1",1.50834357802012e-17,0.626595880023004,0.628,0.286,3.77794815986699e-13,"Lgi1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Uchl1",1.8599130338484e-17,-1.41635322188359,0.459,0.571,4.65852417588008e-13,"Uchl1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Sel1l3",2.01277277973229e-17,0.701839579228399,0.593,0.279,5.04139198139547e-13,"Sel1l3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pip5k1a",2.16955253145478e-17,0.802067980703391,0.47,0.184,5.43407822553479e-13,"Pip5k1a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tcp11l1",2.37540746699199e-17,0.736731257967062,0.438,0.16,5.94968308257484e-13,"Tcp11l1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Scn8a",2.77148991414662e-17,0.599985813279839,0.892,0.589,6.94175078796305e-13,"Scn8a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Necab1",2.96842143566678e-17,0.798819754336446,0.668,0.383,7.43500516991458e-13,"Necab1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rbfox3",3.24427865736334e-17,0.598438254631023,0.873,0.604,8.12594475309796e-13,"Rbfox3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cxxc4",3.25061565464112e-17,1.13028284530552,0.373,0.126,8.14181703017961e-13,"Cxxc4","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnq1ot1",3.36061558162862e-17,0.595977310900802,0.761,0.426,8.4173338473052e-13,"Kcnq1ot1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nufip2",3.40896258735419e-17,0.890054526151486,0.445,0.169,8.53842859254604e-13,"Nufip2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Mylip",3.52017466683458e-17,1.03598022799957,0.375,0.13,8.81698148802058e-13,"Mylip","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ubc",3.56925709468926e-17,-2.30246724360401,0.111,0.292,8.93991824506819e-13,"Ubc","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Atp6v0c",4.35789814326485e-17,-1.32775084347587,0.558,0.623,1.09152274794355e-12,"Atp6v0c","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Pabpc1",6.67450810242374e-17,0.662828703850507,0.57,0.26,1.67176404441408e-12,"Pabpc1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lrch1",7.20240473831982e-17,0.743697192774065,0.721,0.4,1.80398631480696e-12,"Lrch1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kctd1",8.01086461338043e-17,1.11028556663297,0.354,0.115,2.0064812597134e-12,"Kctd1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tuba1b",8.41385445337817e-17,-1.88811599445015,0.284,0.446,2.10741812493763e-12,"Tuba1b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Ildr2",9.09905357993241e-17,0.720413318606165,0.562,0.264,2.27903995016567e-12,"Ildr2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Adgrl3",9.52789154118672e-17,-0.468959800666627,0.992,0.991,2.38645099432104e-12,"Adgrl3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Gfod1",1.10811710160966e-16,0.741356755964225,0.494,0.212,2.7755009044017e-12,"Gfod1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dcun1d2",1.26370670721819e-16,1.1173413428976,0.343,0.11,3.16520618956939e-12,"Dcun1d2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Apba1",1.29788925520018e-16,0.50459698511945,0.916,0.613,3.25082321749989e-12,"Apba1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm48678",1.31725715763501e-16,0.671721472870967,0.497,0.203,3.2993340027284e-12,"Gm48678","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Fam173a",1.4150675052748e-16,0.838035757452408,0.442,0.169,3.54431958046179e-12,"Fam173a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cfl1",1.48915978100708e-16,-1.76484380850388,0.287,0.446,3.72989850348842e-12,"Cfl1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"St7l",1.77637116512521e-16,0.64685730013667,0.505,0.212,4.4492768572891e-12,"St7l","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Zfyve28",1.9854803690204e-16,0.842039507379369,0.445,0.18,4.97303268028538e-12,"Zfyve28","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"mt-Co2",2.29064072434184e-16,-1.04933624426318,0.584,0.662,5.73736782225901e-12,"mt-Co2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Map2",3.10674949311924e-16,-0.436347883204194,0.971,0.937,7.78147545541575e-12,"Map2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Prkaa2",3.61671397980276e-16,0.636955390386959,0.599,0.281,9.05878350521198e-12,"Prkaa2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Srr",3.62269508742792e-16,1.00036878053822,0.34,0.108,9.07376438548072e-12,"Srr","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pakap",4.30335212418101e-16,0.598873995918074,0.727,0.407,1.07786060654362e-11,"Pakap","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rp9",4.91903062253103e-16,0.800708547617915,0.328,0.102,1.23206960002535e-11,"Rp9","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cit",5.00128046688631e-16,0.597385544835066,0.605,0.294,1.25267071854101e-11,"Cit","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnh7",5.77893089241655e-16,0.413511936424563,0.991,0.952,1.44744882062357e-11,"Kcnh7","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ptchd1",6.15956009150183e-16,0.841480309987761,0.37,0.128,1.54278501611846e-11,"Ptchd1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dlgap3",7.00455462747048e-16,0.769434884560284,0.514,0.229,1.75443079754253e-11,"Dlgap3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Adcy2",7.04820018756983e-16,0.633775771212603,0.697,0.383,1.76536270098062e-11,"Adcy2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Marcks",8.56805885204206e-16,-1.85920611452882,0.296,0.45,2.14604170067097e-11,"Marcks","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Frmd6",8.64352256503631e-16,0.908290538993106,0.378,0.139,2.16494309686464e-11,"Frmd6","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stxbp6",8.70292384445674e-16,1.243161702194,0.317,0.102,2.17982133532108e-11,"Stxbp6","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pank2",8.73541162838671e-16,0.872914366566903,0.389,0.143,2.18795855056202e-11,"Pank2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Prkca",9.60404994894428e-16,0.619141333103342,0.832,0.543,2.40552639071207e-11,"Prkca","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ripk2",9.82335551320784e-16,1.05804880234292,0.319,0.1,2.46045585539317e-11,"Ripk2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lhfp",1.0292758099805e-15,0.758989079250483,0.623,0.331,2.57802712125817e-11,"Lhfp","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cap2",1.279603575978e-15,1.2103902705658,0.343,0.119,3.2050230767521e-11,"Cap2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm1043",1.42891972926796e-15,0.642722492863042,0.5,0.225,3.57901524589747e-11,"Gm1043","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Slc1a2",1.48820263330623e-15,0.773949560862348,0.645,0.357,3.72750113564211e-11,"Slc1a2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Bicral",1.63168868683336e-15,0.657700371347851,0.511,0.227,4.08689065391153e-11,"Bicral","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Hectd2",1.78050266942364e-15,0.672817458386867,0.585,0.284,4.4596250361054e-11,"Hectd2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lrrc8b",1.80832747376787e-15,0.578591616741306,0.482,0.201,4.52931782354638e-11,"Lrrc8b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rap1gap2",1.99915711587132e-15,0.651507776946244,0.572,0.268,5.00728882812289e-11,"Rap1gap2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pcnx2",2.31429514900686e-15,0.640716376041109,0.561,0.26,5.79661505971749e-11,"Pcnx2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"1500004A13Rik",2.31660849170024e-15,0.69450622501346,0.479,0.206,5.80240928916159e-11,"1500004A13Rik","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cep350",2.99949780761413e-15,0.622523956551813,0.537,0.24,7.51284215873111e-11,"Cep350","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Plekhm3",3.07069033534869e-15,0.859850584432282,0.395,0.152,7.69115808294787e-11,"Plekhm3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"A330023F24Rik",3.99635755828325e-15,0.552601797435344,0.784,0.448,1.00096767762321e-10,"A330023F24Rik","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ptpn2",4.13710317471651e-15,0.980333166852434,0.326,0.108,1.03622023217124e-10,"Ptpn2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"mt-Nd1",4.28441781641747e-15,-1.22886724632694,0.428,0.554,1.07311813047808e-10,"mt-Nd1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Stmn1",4.37373665185486e-15,-1.09699325828589,0.672,0.675,1.09548981919009e-10,"Stmn1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Cstf3",5.46163596029933e-15,0.430180840551872,0.691,0.34,1.36797595897617e-10,"Cstf3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tenm1",5.98040781735244e-15,-1.13906809122876,0.867,0.838,1.49791274601227e-10,"Tenm1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Mir670hg",6.30606894645096e-15,1.16757536900496,0.299,0.093,1.57948108901757e-10,"Mir670hg","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rapgef1",6.34752594961492e-15,0.551266728508379,0.54,0.24,1.58986482460005e-10,"Rapgef1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnh5",6.38282634322925e-15,1.04321062590884,0.623,0.398,1.59870651418863e-10,"Kcnh5","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Brinp1",6.46867620656798e-15,0.733715862858596,0.895,0.69,1.62020932945908e-10,"Brinp1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cacna1i",6.80629515264139e-15,0.857891025634761,0.389,0.145,1.70477274688209e-10,"Cacna1i","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Hs2st1",7.54682841215413e-15,0.489228191071127,0.755,0.424,1.89025411239224e-10,"Hs2st1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stmn2",7.60424229379473e-15,-0.706063268016012,0.822,0.786,1.90463456732677e-10,"Stmn2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Rab30",8.31118231515212e-15,0.627724569337716,0.401,0.158,2.08170183447615e-10,"Rab30","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sidt1",8.87724680560526e-15,0.771697844840583,0.534,0.26,2.22348400739995e-10,"Sidt1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sgk3",9.03106672240883e-15,0.848835934112218,0.45,0.195,2.26201128196174e-10,"Sgk3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Osbpl1a",9.75297784662017e-15,0.493101763847012,0.748,0.422,2.44282836124295e-10,"Osbpl1a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kdm2a",9.77616732070213e-15,0.591258401088394,0.561,0.273,2.44863662881626e-10,"Kdm2a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ncam1",1.00226626850588e-14,-0.381647722944773,0.992,0.985,2.51037632272667e-10,"Ncam1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Ankrd27",1.03180493228448e-14,0.861510491329771,0.312,0.1,2.58436181389294e-10,"Ankrd27","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Syndig1",1.12239291747849e-14,0.726825673061386,0.498,0.227,2.81125754040836e-10,"Syndig1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm20732",1.14097976537639e-14,0.709778049143995,0.32,0.104,2.85781201833825e-10,"Gm20732","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nlgn1",1.2451990745217e-14,0.354654693046329,0.998,0.968,3.11885012195449e-10,"Nlgn1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Clip2",1.25423089483877e-14,0.67474499023698,0.43,0.175,3.14147212230267e-10,"Clip2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm26936",1.33230419159682e-14,0.836858248716326,0.341,0.117,3.33702230869255e-10,"Gm26936","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm15738",1.33252790504973e-14,0.857021747045638,0.351,0.128,3.33758264377805e-10,"Gm15738","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
