"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cntn4",6.42510431020101e-07,0.321439439099991,0.807,0.818,0.0160929587657605,"Cntn4","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Pde8b",6.44310933183809e-07,0.414752577838272,0.625,0.578,0.0161380559434549,"Pde8b","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Tomm70a",6.64469148526472e-07,-0.268093492934043,0.301,0.411,0.0166429587631425,"Tomm70a","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Plxna2",6.97332742544124e-07,-0.256018666458772,0.52,0.645,0.0174660932025027,"Plxna2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Skil",7.23195578222649e-07,-0.445649301642513,0.198,0.292,0.0181138796477427,"Skil","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Sik3",7.47822487884979e-07,-0.369591885246748,0.617,0.7,0.0187307098540551,"Sik3","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Hectd1",7.69527039576675e-07,-0.316025604961923,0.356,0.469,0.019274343760277,"Hectd1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Gsdme",7.82427154832932e-07,0.698163116437175,0.325,0.248,0.0195974529471005,"Gsdme","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Tmx4",7.91066216216709e-07,-0.362514817172167,0.325,0.432,0.0198138355175799,"Tmx4","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Nptxr",7.91485419628553e-07,-0.356638390084011,0.257,0.353,0.0198243353054364,"Nptxr","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Fus",7.98526935554042e-07,0.372091123296932,0.679,0.667,0.0200007041548221,"Fus","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Samd5",8.05884569822452e-07,0.36712367945157,0.72,0.7,0.020184990820343,"Samd5","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Up"
"Uqcrc1",8.07022666078199e-07,-0.358980354907507,0.194,0.287,0.0202134967172606,"Uqcrc1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Tox",8.1863566767074e-07,-0.662009292257152,0.212,0.297,0.020504367568149,"Tox","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Dtd1",8.64355887671413e-07,-0.363030587629709,0.236,0.331,0.0216495219185059,"Dtd1","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Srsf11",8.68995566470456e-07,-0.203325738788242,0.696,0.792,0.0217657319533855,"Srsf11","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
"Rplp2",8.71948593459583e-07,-0.330065140226734,0.221,0.317,0.0218396964203822,"Rplp2","ExcitatoryNeuronsCA1","24hrvs1hr_PTZ","Down"
