"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","log_p_adj","GeneRatio_numeric","BgRatio_numeric","Fold_enrichment","score","cell_type","comparison"
"GO:0043209","GO:0043209","myelin sheath","35/533","192/17673",7.29029781483489e-18,3.73263248119546e-15,2.93146712133361e-15,"Tuba1a/Ubb/Actb/Gapdh/Tuba1b/Actg1/Hsp90aa1/Hspa8/Calm3/Tubb4b/Ppia/Calm1/Aldoa/Uchl1/Ckb/Slc25a4/Thy1/Mdh1/Eef1a1/Cltc/Ywhag/Atp6v1a/Slc25a3/Uqcrc2/Atp1b1/Gdi1/Pkm/Cox6a1/Gnb2/Gnb4/Nsf/Aco2/Snap25/Dnm1/Atp1a3",35,14.4279847690467,0.0656660412757974,0.0108640298760822,6.04435389305816,87.2078459077714,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0150034","GO:0150034","distal axon","39/533","379/17673",2.29633679703113e-11,1.17572444007994e-08,4.61684556034679e-09,"Actb/Actg1/Hsp90aa1/Hspa8/Cfl1/Calm3/Kcnc2/Hsp90ab1/Calm1/Slc2a13/Crmp1/Nrp1/Marcks/Klc1/Thy1/Tubb3/Ywhae/Rab3a/Unc13c/Agrn/Stmn2/Trpc5/Cdh8/Chrm3/Cdkl5/Mapt/Syp/Dscam/Rac3/Hnrnpk/Copa/Bdnf/Ophn1/Stim1/Cpeb1/Tiam1/Snap25/Prkcb/Atp1a3",39,7.92969445391967,0.0731707317073171,0.0214451423074747,3.41199562391402,27.0560827757492,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0005874","GO:0005874","microtubule","39/533","427/17673",7.91970573958208e-10,4.05488933866602e-07,1.06151845351591e-07,"Tuba1a/Tubb2a/Tubb2b/Tubb5/Tuba1b/Hspa8/Calm3/Mid1/Tubb4b/Nav3/Calm1/Rusc1/Marcks/Klc1/Stmn1/Polb/Hook1/Kif21a/Cltc/Tubb3/Bicd1/Mtus2/Kif2a/Mapt/Whamm/Kif21b/Eif3a/Slain1/Eml6/Spast/Kif13a/Dynll1/Bcas3/Stim1/Stau2/Ccdc57/Tiam1/Dnm1/Cep295",39,6.39202099355208,0.0731707317073171,0.0241611497764952,3.02844576455132,19.3578889048459,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0030426","GO:0030426","growth cone","25/533","211/17673",5.61672222097204e-09,2.87576177713768e-06,5.64628391687189e-07,"Hsp90aa1/Cfl1/Calm3/Hsp90ab1/Calm1/Slc2a13/Crmp1/Nrp1/Marcks/Klc1/Thy1/Tubb3/Ywhae/Agrn/Stmn2/Trpc5/Cdkl5/Mapt/Dscam/Rac3/Copa/Stim1/Cpeb1/Tiam1/Snap25",25,5.54124709296218,0.0469043151969981,0.0119391161659028,3.9286254145808,21.7694841578832,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0030427","GO:0030427","site of polarized growth","25/533","218/17673",1.09635828249264e-08,5.61335440636233e-06,8.81702871394083e-07,"Hsp90aa1/Cfl1/Calm3/Hsp90ab1/Calm1/Slc2a13/Crmp1/Nrp1/Marcks/Klc1/Thy1/Tubb3/Ywhae/Agrn/Stmn2/Trpc5/Cdkl5/Mapt/Dscam/Rac3/Copa/Stim1/Cpeb1/Tiam1/Snap25",25,5.25077753717307,0.0469043151969981,0.0123352005884683,3.80247689209426,19.9659602506282,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0097060","GO:0097060","synaptic membrane","40/533","500/17673",2.11839666840712e-08,1.08461909422445e-05,1.41969741637109e-06,"Hspa8/Cfl1/Kcnc2/Grm8/Ntrk3/Nrp1/Nrxn3/Marcks/Ptprt/Apba1/Grin2d/Nlgn1/Neto1/Cltc/Adgrb1/Nsg1/Clstn2/Kcnh1/Gria1/Prrt1/Unc13c/Dnajc6/Rims2/Met/Cdh8/Chrm3/Atp2b4/Grin3a/Syp/Slc1a2/Dlg4/Stx1a/Pcdh17/Atp6ap2/Tiam1/Snap25/Dnm1/Grid2/Glrb/Atp1a3",40,4.964722754277,0.075046904315197,0.028291744468964,2.65260787992495,13.1694626996379,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0098984","GO:0098984","neuron to neuron synapse","36/533","440/17673",6.26536926838164e-08,3.2078690654114e-05,3.59905422634855e-06,"Gapdh/Hspa8/Ptprt/Grin2d/Nlgn1/Neto1/Eif4g2/Tmem108/Adgrb1/Clstn2/Gria1/Ywhaz/Prrt1/Dnajc6/Psd/C1ql3/Rps3/Chrm3/Syn3/Epb41l3/Grin3a/Cdkl5/Mapt/Syp/Ywhah/Eif3a/Rpl38/Bdnf/Dlg4/Stx1a/Cpeb1/Rpl5/Tiam1/Usp50/Grid2/Atp1a3",36,4.49378336648819,0.0675422138836773,0.0248967351326883,2.71289442265052,12.1911598315455,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0099572","GO:0099572","postsynaptic specialization","33/533","425/17673",7.36671172712623e-07,0.000377175640428863,3.70274194705555e-05,"Gapdh/Hspa8/Ptprt/Grin2d/Nlgn1/Neto1/Eif4g2/Tmem108/Adgrb1/Clstn2/Gria1/Ywhaz/Prrt1/Dnajc6/Psd/Rps3/Chrm3/Syn3/Epb41l3/Grin3a/Cdkl5/Mapt/Syp/Eif3a/Rpl38/Dlg4/Stx1a/Cpeb1/Rpl5/Tiam1/Usp50/Grid2/Glrb",33,3.42345636357242,0.0619136960600375,0.0240479827986194,2.57459000110363,8.81399652286815,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0030672","GO:0030672","synaptic vesicle membrane","17/533","142/17673",1.35259897906839e-06,0.000692530677283015,5.22023539216461e-05,"Calm3/Calm1/Cltc/Atp6v0c/Gria1/Rab3a/Prrt1/Unc13c/Atp6v1a/Syn3/Vamp2/Syp/Syngr3/Atp8a1/Stx1a/Atp6ap2/Slc17a6",17,3.15956098373695,0.0318949343339587,0.00803485542918576,3.96957165129614,12.5421037115836,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
"GO:0099501","GO:0099501","exocytic vesicle membrane","17/533","142/17673",1.35259897906839e-06,0.000692530677283015,5.22023539216461e-05,"Calm3/Calm1/Cltc/Atp6v0c/Gria1/Rab3a/Prrt1/Unc13c/Atp6v1a/Syn3/Vamp2/Syp/Syngr3/Atp8a1/Stx1a/Atp6ap2/Slc17a6",17,3.15956098373695,0.0318949343339587,0.00803485542918576,3.96957165129614,12.5421037115836,"L23ExcitatoryNeurons","24hrvs1hr_SAL"
