"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Glg1",7.93569756394003e-08,0.541159621586113,0.399,0.372,0.00198765416884006,"Glg1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Slc35f3",8.00446197895633e-08,-0.504053640231502,0.431,0.641,0.00200487759186919,"Slc35f3","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Sidt1",8.01399314524735e-08,-0.441696782871389,0.274,0.439,0.0020072648630901,"Sidt1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Ablim1",8.01439987779982e-08,-0.671641236937684,0.265,0.44,0.00200736673739252,"Ablim1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Daam1",8.27569604678304e-08,0.363368539093808,0.434,0.434,0.00207281358883775,"Daam1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Armc9",8.30715885641508e-08,0.588105377524659,0.26,0.241,0.00208069407876628,"Armc9","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Rap1gap2",8.3429589610117e-08,0.677510172126902,0.256,0.199,0.0020896609309646,"Rap1gap2","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Trappc9",8.44386759387786e-08,0.631204080832325,0.279,0.254,0.00211493551623859,"Trappc9","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
"Cdkal1",8.68808443184535e-08,-0.6148038092088,0.233,0.394,0.00217610450764431,"Cdkal1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Down","Sig"
"Ccbe1",9.86328184318888e-08,0.450461440663501,0.366,0.336,0.00247045620326352,"Ccbe1","ExcitatoryNeuronsMatureDG","24hrvs1hr_PTZ","Up","Sig"
