"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Adgrl2",3.82412569364651e-07,-0.315754443089938,0.468,0.703,0.00957828762487641,"Adgrl2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Hsp90aa1",4.63320478094867e-07,0.749244068671606,0.464,0.447,0.0116047880148421,"Hsp90aa1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Lgi1",6.56099608931706e-07,-0.418595347121046,0.379,0.628,0.0164333269049124,"Lgi1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Gabrb1",9.04619305127561e-07,-0.324213664296883,0.939,0.991,0.02265799973553,"Gabrb1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Hs6st3",1.01186004626806e-06,0.352844114617469,0.965,0.95,0.025344058578876,"Hs6st3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Cpne4",1.04488347146747e-06,0.702276236149903,0.614,0.584,0.0261711963098456,"Cpne4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Epha3",1.53627887352159e-06,0.41453054496961,0.789,0.748,0.0384791769450953,"Epha3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Zeb2",1.74099329159571e-06,-0.562397190423699,0.632,0.726,0.0436066589745977,"Zeb2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Las1l",2.64525204701332e-06,0.693596863186652,0.745,0.724,0.0662556280215427,"Las1l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Adgrl3",2.88601841553727e-06,0.21667380892608,0.995,0.992,0.0722861032539621,"Adgrl3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Fus",3.39739885151264e-06,0.310353347086956,0.656,0.733,0.0850946490338372,"Fus","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Epha5",3.85030493056575e-06,0.282742223244932,0.946,0.963,0.0964385875958804,"Epha5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Gpi1",4.42367251756079e-06,0.553910662485502,0.494,0.492,0.110799725547345,"Gpi1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"AY036118",4.55463306287079e-06,-0.156147941959895,0.831,0.905,0.114079894325725,"AY036118","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","pValue"
"Fstl5",4.8299147148836e-06,-1.00079957365355,0.314,0.502,0.120974873863689,"Fstl5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Cadm1",4.90086664020434e-06,0.27384439304838,0.963,0.956,0.122752006737198,"Cadm1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Grm3",7.08687080944977e-06,-0.629536997885253,0.506,0.71,0.177504853164288,"Grm3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Hspa8",8.68701518922899e-06,0.802096818721908,0.571,0.559,0.217583669444618,"Hspa8","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Thsd4",9.10404657958749e-06,-1.22355790570372,0.103,0.256,0.228029054678928,"Thsd4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Slc25a4",9.32387466523954e-06,0.630872253356876,0.344,0.383,0.233535088740255,"Slc25a4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Gm26871",9.55553787785601e-06,0.140399907409051,0.993,0.983,0.239337557226659,"Gm26871","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Gm30382",9.63701615628535e-06,0.0409134744020967,0.375,0.59,0.241378343666479,"Gm30382","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Prkce",9.89974610369976e-06,0.199817688712011,0.871,0.909,0.247958940659368,"Prkce","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Zeb1",1.00479480223928e-05,0.469943524703027,0.391,0.345,0.251670954116874,"Zeb1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Ctnnd2",1.02907304165529e-05,0.0422559017536095,0.981,0.995,0.257751924743401,"Ctnnd2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Ckb",1.07860469890462e-05,1.04296349335424,0.396,0.337,0.270158118934639,"Ckb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Lhfp",1.08283252686695e-05,-0.712587615847559,0.415,0.623,0.271217063004364,"Lhfp","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Grid2",1.11961059989594e-05,-0.402942541089124,0.81,0.89,0.280428866955935,"Grid2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"9630014M24Rik",1.12357729637189e-05,-0.832540893120487,0.152,0.332,0.281422405422268,"9630014M24Rik","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Sorbs1",1.17991745677181e-05,0.279046708180824,0.745,0.812,0.295533925397636,"Sorbs1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Cntn3",1.36395603995699e-05,0.471481987219372,0.834,0.848,0.341630069328027,"Cntn3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Srrm2",1.43278891353437e-05,0.333925005281244,0.799,0.863,0.358870639172954,"Srrm2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Tubb5",1.4668290267513e-05,0.776284369251903,0.667,0.642,0.367396666330399,"Tubb5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Adamtsl1",1.47713847498881e-05,-0.714732144880087,0.443,0.625,0.369978873830448,"Adamtsl1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Camkv",1.56100324526296e-05,0.685613261429835,0.616,0.631,0.390984482841013,"Camkv","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Frmpd4",1.65584904241981e-05,-0.246799617805757,0.96,0.965,0.414740509654891,"Frmpd4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Gapdh",1.68619046835373e-05,1.21223353033415,0.326,0.238,0.422340126608559,"Gapdh","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Tubb3",1.83278250282259e-05,0.64943574701724,0.578,0.59,0.459057033481975,"Tubb3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Cox7b",1.88750127220568e-05,0.871048574619508,0.496,0.431,0.472762443649357,"Cox7b","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Kcnh1",1.95940653160961e-05,-0.462239811547562,0.417,0.643,0.490772553972259,"Kcnh1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Rora",1.9783959933705e-05,-0.876936478348561,0.489,0.671,0.49552884445951,"Rora","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Noc2l",1.99382140932299e-05,0.769229601843121,0.396,0.36,0.499392448393128,"Noc2l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Camk2d",2.03504284518707e-05,0.52778629435011,0.513,0.526,0.509717181434006,"Camk2d","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Nrip1",2.09048518516084e-05,0.699850709413529,0.37,0.367,0.523603824327236,"Nrip1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Jph4",2.09558825920541e-05,0.573297052890224,0.726,0.712,0.524881991283178,"Jph4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Gm34544",2.20656051037141e-05,-0.959620112679109,0.178,0.346,0.552677211032727,"Gm34544","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Ppm1e",2.83114309880138e-05,0.207422702834381,0.871,0.933,0.709116411956783,"Ppm1e","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Braf",3.16607905271388e-05,0.0581991454737594,0.665,0.835,0.793007820333245,"Braf","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Maged1",3.8431084712444e-05,0.729252021464099,0.504,0.486,0.962583378792584,"Maged1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"R3hdm4",3.96273882458491e-05,0.392093916890281,0.269,0.311,0.992547193393782,"R3hdm4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Adamts3",4.17127975337948e-05,-0.696391625423148,0.344,0.53,1,"Adamts3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Dok5",4.91031862403676e-05,0.376106455885868,0.679,0.692,1,"Dok5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Tmeff2",4.95471838732928e-05,-0.624546141974263,0.597,0.739,1,"Tmeff2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Rasal1",5.34110039497399e-05,0.814704005467578,0.546,0.505,1,"Rasal1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Camk2b",5.39852812440013e-05,0.32952804889795,0.735,0.794,1,"Camk2b","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Sil1",5.44591732526301e-05,-0.961025772809275,0.145,0.316,1,"Sil1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Vstm2l",5.53798904513232e-05,-0.802617012265668,0.129,0.284,1,"Vstm2l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Tenm2",6.00220556506291e-05,0.17289225448294,0.995,0.995,1,"Tenm2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","pValue"
"Ulk4",6.2109087672661e-05,0.293886693673371,0.443,0.495,1,"Ulk4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Pcdh15",6.82405141387743e-05,-0.593114823830502,0.829,0.899,1,"Pcdh15","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down","Sig"
"Rac3",6.84996687998122e-05,1.03983499147107,0.288,0.242,1,"Rac3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Srcin1",7.19900792064092e-05,0.380126117388932,0.52,0.541,1,"Srcin1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
"Nell2",7.32858671953469e-05,0.20417635402906,0.923,0.963,1,"Nell2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up","Sig"
