"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"mt-Nd4",2.5991521521579e-07,-1.39316167959043,0.341,0.482,0.00651009639550989,"mt-Nd4","MGE","24hrvs1hr_SAL","Down","Sig"
"Garnl3",3.95316715446592e-07,0.40261891428376,0.882,0.624,0.00990149777179078,"Garnl3","MGE","24hrvs1hr_SAL","Up","Sig"
"Gm4258",4.15592357671695e-07,0.638992745345587,0.923,0.688,0.010409341782603,"Gm4258","MGE","24hrvs1hr_SAL","Up","Sig"
"Nbea",4.4256571970218e-07,-0.321285360471304,0.983,0.966,0.0110849435813805,"Nbea","MGE","24hrvs1hr_SAL","Down","Sig"
"Upp2",4.45129299101983e-07,1.25782989081798,0.547,0.17,0.0111491535546074,"Upp2","MGE","24hrvs1hr_SAL","Up","Sig"
"Gnas",4.62122828210757e-07,-0.79908277538753,0.568,0.538,0.0115747904781948,"Gnas","MGE","24hrvs1hr_SAL","Down","Sig"
"mt-Nd2",6.05740322507134e-07,-1.40148794057268,0.408,0.523,0.0151719778578362,"mt-Nd2","MGE","24hrvs1hr_SAL","Down","Sig"
"Kcnip1",6.43849950820583e-07,0.638262655793025,0.826,0.495,0.0161265097182031,"Kcnip1","MGE","24hrvs1hr_SAL","Up","Sig"
"Calm1",6.44833414071233e-07,-1.06827631906661,0.467,0.484,0.0161511425222422,"Calm1","MGE","24hrvs1hr_SAL","Down","Sig"
"H3f3b",1.22335955472272e-06,-1.45477427985194,0.254,0.303,0.03064148676714,"H3f3b","MGE","24hrvs1hr_SAL","Down","Sig"
"Stmn4",2.09550218835626e-06,-1.51521643170963,0.261,0.327,0.0524860433117593,"Stmn4","MGE","24hrvs1hr_SAL","Down","log2FC"
"Slit3",2.49854733695718e-06,-0.401881100239847,0.425,0.381,0.0625811151487664,"Slit3","MGE","24hrvs1hr_SAL","Down","log2FC"
"Pabpn1",2.55237260306895e-06,0.226304151249429,0.941,0.654,0.063929276589068,"Pabpn1","MGE","24hrvs1hr_SAL","Up","log2FC"
"Rnf25",2.82672861273256e-06,0.99317631145974,0.474,0.159,0.0708010715631124,"Rnf25","MGE","24hrvs1hr_SAL","Up","log2FC"
"Nsg1",3.46110773926573e-06,-1.40882598811807,0.362,0.4,0.0866903655453889,"Nsg1","MGE","24hrvs1hr_SAL","Down","log2FC"
"Slc25a4",3.77043434490782e-06,-1.01670767642473,0.387,0.411,0.0944380690369063,"Slc25a4","MGE","24hrvs1hr_SAL","Down","log2FC"
"Dnajc6",4.13033998353123e-06,0.770949951671115,0.794,0.445,0.103452625567507,"Dnajc6","MGE","24hrvs1hr_SAL","Up","log2FC"
"Prrc2b",5.59119574390369e-06,-0.475274315553892,0.617,0.437,0.140042679797556,"Prrc2b","MGE","24hrvs1hr_SAL","Down","log2FC"
"Hnrnpk",6.06629971190566e-06,-0.965296887724688,0.418,0.387,0.151942608884101,"Hnrnpk","MGE","24hrvs1hr_SAL","Down","log2FC"
"Pcsk1n",6.21829722928473e-06,-1.08498479764807,0.418,0.456,0.155749690701895,"Pcsk1n","MGE","24hrvs1hr_SAL","Down","log2FC"
"Ldb2",8.18838489124436e-06,-0.729344486151877,0.289,0.292,0.205094476370997,"Ldb2","MGE","24hrvs1hr_SAL","Down","log2FC"
"Hs6st3",8.62447375489562e-06,0.0176787758994101,0.638,0.497,0.216017194138871,"Hs6st3","MGE","24hrvs1hr_SAL","Up","NoChange"
"Mical3",1.0089868908373e-05,0.653343335005538,0.756,0.387,0.252720946548018,"Mical3","MGE","24hrvs1hr_SAL","Up","log2FC"
"Thap2",1.07859220976541e-05,1.28153648760445,0.289,0.075,0.270154990779942,"Thap2","MGE","24hrvs1hr_SAL","Up","log2FC"
"Cox6a1",1.0913678081166e-05,-1.31651709778364,0.324,0.323,0.273354894898964,"Cox6a1","MGE","24hrvs1hr_SAL","Down","log2FC"
"Lars2",1.09578560678146e-05,-0.476901574948406,0.578,0.458,0.274461420930551,"Lars2","MGE","24hrvs1hr_SAL","Down","log2FC"
"Atp6v0c",1.1535578271792e-05,-1.0294304911826,0.606,0.596,0.288931628973574,"Atp6v0c","MGE","24hrvs1hr_SAL","Down","log2FC"
"Atp5g3",1.17426986557931e-05,-1.523980950194,0.209,0.262,0.294119373231649,"Atp5g3","MGE","24hrvs1hr_SAL","Down","log2FC"
"Pfdn1",1.22453755054868e-05,0.281833624733218,0.286,0.116,0.306709920285929,"Pfdn1","MGE","24hrvs1hr_SAL","Up","log2FC"
"Calm2",1.37748208858184e-05,-0.548422008114885,0.641,0.555,0.345017938727094,"Calm2","MGE","24hrvs1hr_SAL","Down","log2FC"
"Atp1b1",1.471232167863e-05,-0.704077154975776,0.885,0.847,0.368499521084647,"Atp1b1","MGE","24hrvs1hr_SAL","Down","log2FC"
"Cacna1d",1.49760275275249e-05,0.378638436155721,0.99,0.783,0.375104561481915,"Cacna1d","MGE","24hrvs1hr_SAL","Up","log2FC"
"Camkv",1.70494733695126e-05,-0.849580320318651,0.411,0.355,0.427038159486182,"Camkv","MGE","24hrvs1hr_SAL","Down","log2FC"
"Ywhaz",1.7918961617118e-05,-0.436852646484994,0.547,0.447,0.448816231623955,"Ywhaz","MGE","24hrvs1hr_SAL","Down","log2FC"
"mt-Atp6",1.81232836077274e-05,-1.01184559404793,0.54,0.63,0.453933884522748,"mt-Atp6","MGE","24hrvs1hr_SAL","Down","log2FC"
"Gphn",1.98869417563828e-05,-0.154466088302689,0.944,0.849,0.498108230172121,"Gphn","MGE","24hrvs1hr_SAL","Down","NoChange"
"Pde10a",2.07932825039442e-05,-0.329302301866425,0.728,0.632,0.52080934687629,"Pde10a","MGE","24hrvs1hr_SAL","Down","log2FC"
"Dnm2",2.11659537146646e-05,0.651719534515468,0.551,0.23,0.530143642691205,"Dnm2","MGE","24hrvs1hr_SAL","Up","log2FC"
"Gpc5",2.22936745379673e-05,-0.12072710917072,0.296,0.237,0.558389666152468,"Gpc5","MGE","24hrvs1hr_SAL","Down","NoChange"
"Ptpa",2.31633374709339e-05,0.302087380340839,0.31,0.114,0.580172113634481,"Ptpa","MGE","24hrvs1hr_SAL","Up","log2FC"
"Ctcf",2.51266149555842e-05,0.506104274183924,0.38,0.142,0.629346324792518,"Ctcf","MGE","24hrvs1hr_SAL","Up","log2FC"
"Ddx55",2.54559993481299e-05,0.676628754705574,0.307,0.09,0.637596415672609,"Ddx55","MGE","24hrvs1hr_SAL","Up","log2FC"
"Zfp949",2.58659436787551e-05,1.80200308344327,0.272,0.058,0.647864291321779,"Zfp949","MGE","24hrvs1hr_SAL","Up","log2FC"
"Sparcl1",2.68983135926935e-05,-0.57609125206558,0.348,0.256,0.673722060556194,"Sparcl1","MGE","24hrvs1hr_SAL","Down","log2FC"
"Peg3",3.24567572388184e-05,-0.513941460372555,0.826,0.686,0.812944398560685,"Peg3","MGE","24hrvs1hr_SAL","Down","log2FC"
"Ptprk",3.31462807012791e-05,-0.803790627727387,0.324,0.325,0.830214892724938,"Ptprk","MGE","24hrvs1hr_SAL","Down","log2FC"
"Zeb2",3.49007269893024e-05,0.197928283260206,0.99,0.897,0.874158508901058,"Zeb2","MGE","24hrvs1hr_SAL","Up","NoChange"
"Cnksr2",3.59182204611112e-05,-0.140503577103909,0.791,0.598,0.899643667889453,"Cnksr2","MGE","24hrvs1hr_SAL","Down","NoChange"
"Ppt1",4.18217935853122e-05,0.762581452664693,0.293,0.088,1,"Ppt1","MGE","24hrvs1hr_SAL","Up","log2FC"
"Rplp1",4.41789693472938e-05,-1.16517905913315,0.348,0.342,1,"Rplp1","MGE","24hrvs1hr_SAL","Down","log2FC"
"Zfpm2",4.53399788651917e-05,0.240158827884572,0.519,0.456,1,"Zfpm2","MGE","24hrvs1hr_SAL","Up","log2FC"
"Nxph1",4.75940281087589e-05,-0.158342130866281,1,1,1,"Nxph1","MGE","24hrvs1hr_SAL","Down","NoChange"
"Camk2b",4.88060585321787e-05,-0.202858636928039,0.596,0.378,1,"Camk2b","MGE","24hrvs1hr_SAL","Down","log2FC"
