"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Pcdh7",3.07427572723155e-05,-0.170460870596408,0.967,0.972,0.770013841399687,"Pcdh7","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Dock4",3.64995629274411e-05,0.107948626008113,0.969,0.981,0.914204552643618,"Dock4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"mt-Nd4",4.08902286731227e-05,1.13740598268542,0.423,0.313,1,"mt-Nd4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Epha5",4.26381117105094e-05,0.0821949686377117,0.736,0.711,1,"Epha5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Arfgef2",4.33116967916209e-05,0.334501893387322,0.385,0.454,1,"Arfgef2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Usp29",4.61560678514795e-05,-0.378482364267866,0.67,0.802,1,"Usp29","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Gm20754",4.69737548008519e-05,-0.349751522003398,0.938,0.958,1,"Gm20754","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Kirrel3",4.76702375183294e-05,-0.390843140586103,0.639,0.739,1,"Kirrel3","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Srrm2",4.79025179946587e-05,0.451292945559812,0.888,0.885,1,"Srrm2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Hexb",4.83520428887611e-05,-0.563560439368968,0.269,0.478,1,"Hexb","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Stxbp5l",5.73479272527667e-05,0.0335536714249769,0.861,0.946,1,"Stxbp5l","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Vamp2",6.4077225411633e-05,0.737585790929158,0.302,0.226,1,"Vamp2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Gapdh",6.66617243188961e-05,1.00065822630466,0.357,0.278,1,"Gapdh","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Gria1",6.97086531251176e-05,-0.193788402086637,0.989,0.995,1,"Gria1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Sema3c",8.13081380289439e-05,-0.314720800287563,0.306,0.504,1,"Sema3c","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Snhg12",0.000121867869706346,-0.691498922909296,0.178,0.346,1,"Snhg12","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Tnks",0.00013018984836553,-0.487824975869203,0.423,0.635,1,"Tnks","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Ptprk",0.000145004628450853,-0.193118495525043,0.914,0.944,1,"Ptprk","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Dalrd3",0.000169506389806868,0.585971116998306,0.835,0.809,1,"Dalrd3","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Kif1b",0.00017548698386095,0.198746188138126,0.925,0.932,1,"Kif1b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Leng8",0.00020423375092994,0.527235263682246,0.683,0.701,1,"Leng8","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Ndrg4",0.000210371857766752,0.319473576867233,0.643,0.689,1,"Ndrg4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Fhl1",0.000216787939637272,0.602690501999771,0.729,0.689,1,"Fhl1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Tspan5",0.000220541350229159,0.289892299514939,0.667,0.713,1,"Tspan5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Gria2",0.000236385437007641,0.17428145975996,1,1,1,"Gria2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Arhgef25",0.000244118941119175,0.621282370461351,0.463,0.421,1,"Arhgef25","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"AY036118",0.000253260677824567,-0.203713436860242,0.872,0.939,1,"AY036118","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Pfkl",0.000260790113221746,0.978606365239223,0.251,0.2,1,"Pfkl","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Rps6ka5",0.000286380568224753,-0.376670191617404,0.385,0.511,1,"Rps6ka5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Pard3b",0.000286381859948849,-0.389769324651514,0.372,0.532,1,"Pard3b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Cnot10",0.000322035124615888,-0.322775963219805,0.249,0.407,1,"Cnot10","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Cox7b",0.000349330236680877,0.949968473500951,0.487,0.428,1,"Cox7b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Camk2a",0.000355433017524215,0.101634578375588,0.824,0.849,1,"Camk2a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Lrp1",0.000356947698564535,0.458116092046792,0.612,0.607,1,"Lrp1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Kcnq1ot1",0.000376905638189462,-0.480454597524042,0.678,0.845,1,"Kcnq1ot1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Supt5",0.000386157498998233,0.844821595018137,0.432,0.374,1,"Supt5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Safb",0.000390221178585625,-0.332839100799994,0.361,0.532,1,"Safb","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Gm49179",0.000394131922218904,-0.295854628981568,0.392,0.553,1,"Gm49179","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Nebl",0.000396035182520149,0.0444398030485518,0.881,0.927,1,"Nebl","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Atp5b",0.000402456002632369,0.513778927996731,0.581,0.581,1,"Atp5b","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Unc13c",0.000406960203657091,-0.655424798237265,0.231,0.308,1,"Unc13c","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Gm6994",0.000425207871685665,-0.763720736382923,0.214,0.384,1,"Gm6994","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Pdlim5",0.000475193193365059,-0.276674884083161,0.205,0.344,1,"Pdlim5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Psme4",0.000496233801769327,0.178865084866036,0.773,0.845,1,"Psme4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Mrps9",0.000599117981355838,-0.0946609656023248,0.289,0.44,1,"Mrps9","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Tenm2",0.00060716661619729,-0.134921736019207,0.993,0.986,1,"Tenm2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Rap1gap2",0.000610396449226093,0.288363959740265,0.507,0.576,1,"Rap1gap2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Ppp1r9a",0.000626669159973441,-0.289959371805288,0.643,0.802,1,"Ppp1r9a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Rnf112",0.000649896657997009,0.421819652684245,0.641,0.664,1,"Rnf112","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Csmd1",0.00066168683834812,-0.134671021896791,1,0.998,1,"Csmd1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Rpl13a",0.000698025705092665,-0.323500087680946,0.181,0.313,1,"Rpl13a","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Sept8",0.000708871498155996,0.63989865191847,0.374,0.332,1,"Sept8","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Dcaf6",0.000732402949691162,-0.315254778090776,0.681,0.84,1,"Dcaf6","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Hook3",0.000782154506080647,0.195245264992268,0.564,0.661,1,"Hook3","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","pValue"
"Camkv",0.000782629296806186,0.567380290952683,0.738,0.739,1,"Camkv","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Tenm4",0.00078949885996951,-0.253476437784672,0.927,0.972,1,"Tenm4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Hdac9",0.000807936930981414,-0.310054173860682,0.857,0.953,1,"Hdac9","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Robo1",0.000817055295347227,-0.00907557491294142,0.925,0.925,1,"Robo1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Catspere2",0.00082618134571449,-0.835175231018851,0.211,0.36,1,"Catspere2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Brinp2",0.000845394097812401,-0.339881229990532,0.637,0.671,1,"Brinp2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"L3mbtl4",0.000867447275788444,-0.0530522302532263,0.211,0.28,1,"L3mbtl4","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Maged1",0.000898970725923981,0.644765295019718,0.61,0.56,1,"Maged1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Eno2",0.000905973727266314,0.600746921193814,0.537,0.508,1,"Eno2","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Slc22a23",0.000909925614731835,-0.309214317519907,0.392,0.584,1,"Slc22a23","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Tubb5",0.000918138918830048,0.631509167813968,0.617,0.614,1,"Tubb5","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Rgs11",0.000924759013771679,0.37591320770516,0.615,0.628,1,"Rgs11","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Ppip5k1",0.00093758263328108,0.451478612725429,0.326,0.344,1,"Ppip5k1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Cox6a1",0.000953087105764286,0.81326352010934,0.392,0.348,1,"Cox6a1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Up","Sig"
"Gmds",0.00108160247960678,-0.289973498193736,0.707,0.816,1,"Gmds","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
"Tafa1",0.00109884647014004,-0.199092193826726,0.659,0.656,1,"Tafa1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","pValue"
"Dab1",0.00112047453953127,-0.232961039481536,0.967,0.986,1,"Dab1","ExcitatoryNeuronsCA3","PTZvsSAL_24hr","Down","Sig"
