"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Mid1",1.16774048196852e-13,-1.99591052164117,0.16,0.331,2.92483958518655e-09,"Mid1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Unc80",1.47697979712235e-13,0.544015443784735,0.843,0.577,3.69939129785236e-09,"Unc80","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Map7",1.73267107252811e-13,1.1735753548821,0.409,0.167,4.33982123536115e-09,"Map7","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Dlgap2",2.00254494722907e-13,0.841534407320735,0.835,0.634,5.01577432932466e-09,"Dlgap2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Cntn4",2.15736642151175e-13,0.913251639039103,0.792,0.56,5.40355567596049e-09,"Cntn4","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Rph3a",3.07686755289483e-13,0.979736634491142,0.425,0.178,7.70663015973567e-09,"Rph3a","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Chn1",5.26760153820197e-13,0.765051814261276,0.613,0.342,1.31937615727345e-08,"Chn1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Kcnd2",7.57994562822864e-13,0.618052394516689,0.943,0.801,1.89854898150243e-08,"Kcnd2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Mir670hg",9.13006682650909e-13,1.52807904407103,0.332,0.12,2.28680783803573e-08,"Mir670hg","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Pex5l",9.60864178687059e-13,0.726923283025008,0.61,0.333,2.40667650835748e-08,"Pex5l","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Mical2",1.20521415665775e-12,0.638216333727269,0.676,0.38,3.01869989818068e-08,"Mical2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Hnrnpll",1.33889771907611e-12,0.978757312691568,0.574,0.317,3.35353711696993e-08,"Hnrnpll","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"2210408F21Rik",1.61028802883132e-12,1.09113744457962,0.319,0.107,4.03328842581381e-08,"2210408F21Rik","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Gpr158",1.69331744484533e-12,0.593949294648791,0.72,0.44,4.2412522041041e-08,"Gpr158","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Cacng3",1.87410452021047e-12,2.06544887511856,0.25,0.071,4.69406959177117e-08,"Cacng3","L56ExcitatoryNeurons","PTZvsSAL_1hr","Up"
"Stmn1",1.95621534239475e-12,-1.15216024699922,0.508,0.601,4.89973256809614e-08,"Stmn1","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
"Stmn2",2.32357138208492e-12,-0.843540146635746,0.571,0.669,5.8198492407081e-08,"Stmn2","L56ExcitatoryNeurons","PTZvsSAL_1hr","Down"
