"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Calm3",1.26864185151812e-15,-0.994851317908254,0.227,0.458,3.17756724549743e-11,"Calm3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Serinc1",1.62782907445822e-15,-0.607998030847334,0.522,0.769,4.07722348279551e-11,"Serinc1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ptbp2",2.05765621920329e-15,-0.547877850419318,0.848,0.959,5.15381153223849e-11,"Ptbp2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Fhit",2.934399311115e-15,-0.771498109058309,0.489,0.716,7.34978995454975e-11,"Fhit","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp2b1",3.3211118180779e-15,-0.346726943722061,0.965,0.991,8.31838877073972e-11,"Atp2b1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Tubb2b",6.60721150336146e-15,-0.722917948263403,0.564,0.764,1.65490826524694e-10,"Tubb2b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ckb",9.54505306400638e-15,-0.703959926740346,0.385,0.644,2.39074944094168e-10,"Ckb","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rpl19",1.11250933952014e-14,-0.756392267503378,0.216,0.457,2.7865021426961e-10,"Rpl19","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rpl13",1.39101735024926e-14,-0.638245642183554,0.293,0.54,3.48408115716932e-10,"Rpl13","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Gria2",4.59946698994882e-14,0.232981367227936,1,0.999,1.15202849697248e-09,"Gria2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Ranbp2",5.04378661104462e-14,-0.779540962772909,0.445,0.664,1.26331723246835e-09,"Ranbp2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Myl6",6.28363255458498e-14,-0.735655834178707,0.313,0.537,1.5738614459469e-09,"Myl6","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rps10",6.44283666253412e-14,-0.854951822719901,0.176,0.398,1.61373729886492e-09,"Rps10","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nell2",9.37731254064866e-14,-0.332082994086378,0.945,0.985,2.34873547205627e-09,"Nell2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nptx1",1.11755307199215e-13,-0.793566674047301,0.315,0.542,2.79913517941875e-09,"Nptx1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Atp6v0b",1.51264406361781e-13,0.511964163094182,0.914,0.893,3.78871958614352e-09,"Atp6v0b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Gtdc1",1.53645652532957e-13,-0.470968457321371,0.83,0.944,3.84836265899298e-09,"Gtdc1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Zc3h13",2.47593590706055e-13,-0.700500846106163,0.478,0.677,6.20147666641455e-09,"Zc3h13","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Dmd",3.19079385121666e-13,-0.478802478768007,0.945,0.979,7.99198135914236e-09,"Dmd","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rims2",3.57517829564161e-13,-0.364719748651184,0.952,0.977,8.95474907709353e-09,"Rims2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
