"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Luzp2",5.6733577865457e-05,0.463748191726191,0.711,0.565,1,"Luzp2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Lpin2",5.68132380785187e-05,0.0567582492219976,0.409,0.257,1,"Lpin2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ptbp3",5.6938397427498e-05,0.273463662379218,0.257,0.146,1,"Ptbp3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Sec24d",5.74693026097645e-05,0.0942976209936035,0.306,0.178,1,"Sec24d","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ogdh",5.74882969117081e-05,0.0715107647147696,0.489,0.307,1,"Ogdh","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Exoc3",5.79990655939321e-05,-0.0153888788224403,0.425,0.261,1,"Exoc3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Pacs2",5.85701497743331e-05,0.114005273141678,0.38,0.236,1,"Pacs2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tanc2",5.94178283675248e-05,0.15624584254495,0.979,0.92,1,"Tanc2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Unc79",5.94483355125856e-05,0.170462278428699,0.969,0.858,1,"Unc79","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Kcnq3",5.9450681089244e-05,0.215307279485865,0.933,0.8,1,"Kcnq3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Matn2",5.99168230982209e-05,0.119147046442431,0.252,0.142,1,"Matn2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rictor",6.01089030158666e-05,0.213695393002408,0.537,0.351,1,"Rictor","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mtx2",6.05827549748716e-05,0.150611867181713,0.445,0.281,1,"Mtx2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"4930578M01Rik",6.07014049192959e-05,0.129060940444893,0.262,0.148,1,"4930578M01Rik","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Slc9a9",6.09916250170898e-05,0.138183970499226,0.542,0.361,1,"Slc9a9","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Eif4b",6.10337860608154e-05,0.300273085448246,0.339,0.212,1,"Eif4b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tanc1",6.16423600640321e-05,0.278097062907024,0.349,0.226,1,"Tanc1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ccpg1",6.21318418825717e-05,0.135468793797065,0.299,0.174,1,"Ccpg1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Armh3",6.23036126513175e-05,0.199371700639063,0.51,0.331,1,"Armh3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Ube2n",6.29941034156641e-05,0.0964128347351854,0.358,0.218,1,"Ube2n","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Hspa9",6.37207266392896e-05,0.0856862969422878,0.415,0.259,1,"Hspa9","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Clvs2",6.39223895966795e-05,0.267879638703698,0.39,0.255,1,"Clvs2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cep120",6.39526391668008e-05,0.163712959422135,0.392,0.242,1,"Cep120","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rgs11",6.41770374454209e-05,0.0785761734885079,0.591,0.393,1,"Rgs11","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Atl3",6.44268688794403e-05,0.0823786442318817,0.266,0.148,1,"Atl3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Uba5",6.44981251802119e-05,0.304617556607019,0.267,0.154,1,"Uba5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Usp7",6.53051441161684e-05,0.0153110307393341,0.557,0.355,1,"Usp7","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Grm5",6.66798077509929e-05,0.139747421807166,0.999,0.99,1,"Grm5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Spata5",6.72562109571827e-05,0.0938576913721619,0.497,0.323,1,"Spata5","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"2310002F09Rik",6.74456487521471e-05,0.185647239834615,0.376,0.232,1,"2310002F09Rik","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rnf217",6.80476758391951e-05,0.0758711097431515,0.289,0.166,1,"Rnf217","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Dcun1d2",6.93942196965313e-05,-0.00714533500098646,0.262,0.144,1,"Dcun1d2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Cap1",6.94184361625449e-05,0.0714346281521197,0.315,0.184,1,"Cap1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Sun1",6.94590758647034e-05,0.069469552133244,0.451,0.289,1,"Sun1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tmx3",6.97436100918311e-05,0.127626802228151,0.417,0.261,1,"Tmx3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rnf19a",7.00963826661171e-05,0.0991775972404285,0.392,0.24,1,"Rnf19a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rbfox3",7.03788329097894e-05,0.238029202475713,0.846,0.659,1,"Rbfox3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Pik3c2b",7.05633728604737e-05,-0.0147106238578469,0.271,0.152,1,"Pik3c2b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Usp16",7.13355871546638e-05,0.12834530595103,0.449,0.283,1,"Usp16","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Sash1",7.19082482146733e-05,0.230939276233763,0.374,0.238,1,"Sash1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cnot10",7.19206216655e-05,0.0796931400835166,0.317,0.19,1,"Cnot10","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Nefl",7.28940233540005e-05,0.0319084592871492,0.442,0.277,1,"Nefl","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Cdc42se2",7.35514957857993e-05,0.103457507237155,0.557,0.373,1,"Cdc42se2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Upf2",7.39553534345952e-05,0.163363591087027,0.383,0.24,1,"Upf2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Epc2",7.4480476132744e-05,0.0978002781869374,0.507,0.337,1,"Epc2","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Hira",7.545385695366e-05,0.120423095425089,0.561,0.373,1,"Hira","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Raf1",7.57812592841022e-05,0.0558280987312589,0.549,0.359,1,"Raf1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Tubb2a",7.70318971308444e-05,-0.488235715416621,0.837,0.766,1,"Tubb2a","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Ankrd13c",7.72383723419365e-05,0.212864014379379,0.392,0.246,1,"Ankrd13c","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Adar",7.75266319680238e-05,0.094765324016849,0.485,0.315,1,"Adar","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Kdm5c",7.75982721034336e-05,0.11760933946865,0.402,0.253,1,"Kdm5c","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Atp2b3",7.8603230350458e-05,0.0722904359225933,0.445,0.283,1,"Atp2b3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Mtx3",7.9648632529464e-05,0.0108462556246955,0.259,0.144,1,"Mtx3","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Arsb",8.02000351794339e-05,0.165475263591207,0.54,0.365,1,"Arsb","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Armh4",8.08752050553674e-05,0.189863416719461,0.312,0.188,1,"Armh4","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Eif4g1",8.09481066738743e-05,0.161487954209897,0.628,0.427,1,"Eif4g1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Capza1",8.1188268012482e-05,0.134757867722785,0.356,0.212,1,"Capza1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Zdhhc20",8.13143139141257e-05,0.0943709639723371,0.62,0.415,1,"Zdhhc20","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Efr3b",8.13640778018604e-05,0.0741214004583262,0.725,0.503,1,"Efr3b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Arl8b",8.17861274460195e-05,-0.0366354296439531,0.327,0.194,1,"Arl8b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Wscd1",8.22739693131577e-05,0.230414177109132,0.336,0.206,1,"Wscd1","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Stt3b",8.34350395053114e-05,-0.0539905854096998,0.348,0.202,1,"Stt3b","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Down"
"Zfyve9",8.41136875853022e-05,0.228224118744987,0.659,0.457,1,"Zfyve9","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
"Rtn4r",8.49907338814014e-05,0.122308244769587,0.356,0.216,1,"Rtn4r","ExcitatoryNeuronsCA3","PTZvsSAL_1hr","Up"
