"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Pcdh10",8.4410116522074e-08,0.28780914494571,0.605,0.366,0.00211422018852839,"Pcdh10","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Psma3",8.51004225547833e-08,0.167150247853544,0.517,0.275,0.00213151028372966,"Psma3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Slc24a5",8.59984319918326e-08,0.201296881686967,0.293,0.134,0.00215400272609943,"Slc24a5","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Wwp1",8.63788557476158e-08,0.25084827674259,0.456,0.242,0.00216353119991053,"Wwp1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Srcap",8.83588187532284e-08,0.251369624540135,0.479,0.26,0.00221312333331211,"Srcap","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lztfl1",8.84541731804642e-08,0.22632125595691,0.48,0.262,0.00221551167565109,"Lztfl1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Npat",8.88687092817187e-08,0.190799349069004,0.354,0.173,0.00222589456137921,"Npat","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Orc3",9.04978720306866e-08,0.279549187857114,0.389,0.199,0.00226670020075261,"Orc3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stam2",9.05637245905636e-08,0.0811613644387174,0.405,0.206,0.00226834960981985,"Stam2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stxbp5l",9.05658164194328e-08,0.295352808667825,0.916,0.755,0.00226840200385753,"Stxbp5l","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Xpo7",9.06470926829256e-08,0.298837229118679,0.546,0.307,0.00227043773042924,"Xpo7","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nsmce2",9.13437617173422e-08,0.226826075103092,0.505,0.275,0.00228788719973427,"Nsmce2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tbc1d9b",9.21117664488077e-08,0.197448952267384,0.265,0.117,0.00230712341424329,"Tbc1d9b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ano6",9.28564163146172e-08,0.323232533532851,0.5,0.277,0.00232577465943222,"Ano6","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Aak1",9.35456870047732e-08,0.320439682549269,0.768,0.515,0.00234303882240855,"Aak1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Brcc3",9.50382844083428e-08,0.330594452988066,0.279,0.126,0.00238042390957576,"Brcc3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tex2",9.5520659204139e-08,0.0217040880559802,0.296,0.134,0.00239250595108607,"Tex2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tlk1",9.57079613514002e-08,0.185661608682413,0.671,0.424,0.00239719730796852,"Tlk1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sec14l1",9.69860465180082e-08,0.481231135097769,0.29,0.136,0.00242920950713655,"Sec14l1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Spred2",9.7992894486465e-08,0.27236740948096,0.454,0.249,0.00245442802820249,"Spred2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Vsnl1",9.90865757828659e-08,0.216722107670394,0.643,0.387,0.00248182146363344,"Vsnl1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kdm5a",9.95301417767547e-08,0.215223611255022,0.474,0.255,0.00249293146108238,"Kdm5a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Hbs1l",1.00649934345494e-07,0.275177510145739,0.482,0.26,0.00252097890555158,"Hbs1l","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gabrb2",1.02509378524274e-07,0.2159703012366,0.925,0.703,0.00256755240389749,"Gabrb2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Srpk1",1.02743994277022e-07,0.393105394401829,0.431,0.238,0.00257342882465657,"Srpk1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Plekha6",1.03595187217336e-07,0.254549944473803,0.543,0.307,0.00259474865423261,"Plekha6","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ptpn9",1.05520969790761e-07,0.175874448552207,0.436,0.232,0.00264298373034918,"Ptpn9","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cfap36",1.07486436463382e-07,0.227964865535558,0.416,0.219,0.00269221277409834,"Cfap36","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ly6h",1.07589514827979e-07,-0.735403091199618,0.785,0.723,0.00269479457789638,"Ly6h","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Zfp182",1.08240227058038e-07,0.390359539636447,0.256,0.113,0.00271109296712269,"Zfp182","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ptpn1",1.08398398373667e-07,0.208442397088379,0.312,0.147,0.00271505468406523,"Ptpn1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Utp20",1.08515959458793e-07,0.307142508557847,0.305,0.145,0.00271799923656438,"Utp20","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Inpp5b",1.08720967241978e-07,0.351376761333404,0.282,0.132,0.00272313406650983,"Inpp5b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nhsl2",1.1061412070736e-07,0.343094828741876,0.252,0.11,0.00277055188135724,"Nhsl2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cdyl",1.11780331852521e-07,0.607184258933951,0.259,0.119,0.00279976197191008,"Cdyl","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Usp32",1.13246724592524e-07,0.255817513778,0.788,0.5,0.00283649071086895,"Usp32","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sacs",1.13328515260934e-07,0.213167102825985,0.405,0.214,0.00283853932174061,"Sacs","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nebl",1.15167278144436e-07,0.305472905522886,0.777,0.511,0.00288459481568368,"Nebl","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Susd4",1.18608126298733e-07,0.420752128185358,0.498,0.297,0.00297077773940437,"Susd4","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"mt-Nd2",1.18636514985441e-07,-1.18123282215414,0.434,0.487,0.00297148879084035,"mt-Nd2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Ammecr1",1.19239033725301e-07,0.234437909729406,0.428,0.232,0.00298658007771763,"Ammecr1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Zc3h12b",1.19248854195257e-07,0.196262078829899,0.567,0.316,0.00298682605102861,"Zc3h12b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rprd1a",1.19676684601679e-07,0.261437101284484,0.57,0.329,0.00299754191921825,"Rprd1a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Asic2",1.20626478758621e-07,0.287183883015369,0.96,0.885,0.00302133141346717,"Asic2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ncald",1.21757153034434e-07,0.297688502132064,0.867,0.628,0.00304965141205347,"Ncald","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Irf2",1.21805340470467e-07,0.546680386766908,0.325,0.165,0.0030508583627638,"Irf2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tra2a",1.22201761130936e-07,0.276701103122822,0.72,0.457,0.00306078751104655,"Tra2a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Anxa7",1.22303919265129e-07,0.249224255465682,0.302,0.143,0.00306334626583368,"Anxa7","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ksr1",1.23230815661041e-07,0.315888206858504,0.325,0.158,0.0030865622398621,"Ksr1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Fndc3b",1.24440872382662e-07,0.277964570718875,0.47,0.262,0.00311687053056852,"Fndc3b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dennd5b",1.24457235574714e-07,0.235324402147472,0.62,0.366,0.00311728037943986,"Dennd5b","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Wdr36",1.25282546868984e-07,0.328020546519141,0.296,0.136,0.00313795195142745,"Wdr36","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Pxk",1.29167469195851e-07,0.205873205019349,0.317,0.154,0.00323525760094848,"Pxk","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ppp3cc",1.29597886143522e-07,0.284614835638168,0.366,0.184,0.0032460382542368,"Ppp3cc","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Zfyve1",1.30007988343419e-07,0.220502862340923,0.288,0.132,0.00325631008403762,"Zfyve1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cyth1",1.32506248562852e-07,0.273149013845107,0.502,0.277,0.00331888400775374,"Cyth1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Synrg",1.35201440369353e-07,0.388330915943311,0.319,0.154,0.00338639047693118,"Synrg","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Sgip1",1.38300761995721e-07,0.23320518835956,0.907,0.675,0.00346401918570682,"Sgip1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnt2",1.39692308334928e-07,0.345215484129038,0.927,0.777,0.00349887324686495,"Kcnt2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Slain1",1.42702754812234e-07,0.207322473866802,0.55,0.312,0.00357427589978204,"Slain1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nup205",1.44141991930184e-07,0.295576194446459,0.341,0.171,0.00361032447187531,"Nup205","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cryzl1",1.44631766538818e-07,0.245853453676143,0.424,0.225,0.00362259185649777,"Cryzl1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Spaca6",1.45029822464799e-07,0.17644870003688,0.271,0.123,0.00363256196327583,"Spaca6","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Fbxo10",1.4616758775121e-07,0.406386641286965,0.259,0.113,0.00366105957040456,"Fbxo10","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Arhgef1",1.46325985058485e-07,0.1009099809542,0.384,0.195,0.00366502694775988,"Arhgef1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rad17",1.46520933378084e-07,0.387795880421926,0.262,0.119,0.00366990981832087,"Rad17","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ahi1",1.47412257445845e-07,0.26002450164204,0.983,0.872,0.00369223481224608,"Ahi1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Faxc",1.48156238943285e-07,0.355342905439038,0.294,0.141,0.00371086931681247,"Faxc","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lpgat1",1.48782302965261e-07,0.145465922835843,0.633,0.361,0.00372655034237089,"Lpgat1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tmem178",1.54068648382646e-07,0.549071481751004,0.285,0.136,0.00385895743604012,"Tmem178","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Rnf165",1.54656412768812e-07,0.218536433324411,0.665,0.405,0.00387367917062043,"Rnf165","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Bod1l",1.55095393545236e-07,0.328988020694392,0.3,0.143,0.00388467432212753,"Bod1l","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lars",1.5658525087214e-07,0.138522654377631,0.427,0.225,0.00392199077859448,"Lars","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Fbxo41",1.57747093390834e-07,0.156087990011763,0.439,0.227,0.00395109144816022,"Fbxo41","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Ndel1",1.60997190452775e-07,0.158315067415321,0.294,0.134,0.00403249662927066,"Ndel1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Smg1",1.61716072090857e-07,0.264648688540418,0.822,0.55,0.00405050245765969,"Smg1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Polr1a",1.62081470276214e-07,0.412314324355509,0.255,0.113,0.00405965458600833,"Polr1a","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Gm20275",1.63353308886655e-07,0.174338040236489,0.668,0.39,0.00409151032768405,"Gm20275","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Stxbp4",1.63831377904043e-07,0.371754911754541,0.259,0.115,0.00410348452236256,"Stxbp4","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Cdk12",1.64150908372084e-07,0.349102202292291,0.541,0.32,0.00411148780199558,"Cdk12","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Snhg12",1.64790635618193e-07,0.415573759974925,0.259,0.115,0.00412751105032887,"Snhg12","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Zfp800",1.67938552120855e-07,0.42426158121123,0.27,0.121,0.00420635691497106,"Zfp800","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Kcnk9",1.68676984789833e-07,0.279014834324226,0.386,0.203,0.00422485243803094,"Kcnk9","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Dtna",1.69347237349488e-07,0.306221743642749,0.825,0.591,0.00424164025389262,"Dtna","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Slc22a23",1.70526506485227e-07,0.378755356666918,0.611,0.372,0.00427117740793549,"Slc22a23","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Mdga1",1.7258063685281e-07,0.342359798257863,0.255,0.115,0.00432262721125232,"Mdga1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
