"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Abhd17b",0.00587365800823107,0.7034419914547,0.268,0.161,1,"Abhd17b","OPCs","PTZvsSAL_1hr","Up"
"Ppp3cb",0.0059080940457445,0.461504546023074,0.392,0.255,1,"Ppp3cb","OPCs","PTZvsSAL_1hr","Up"
"Cspg5",0.00593391740876602,0.304598001407506,0.771,0.656,1,"Cspg5","OPCs","PTZvsSAL_1hr","Up"
"Tmem63b",0.00605696270039761,0.687242940277614,0.253,0.151,1,"Tmem63b","OPCs","PTZvsSAL_1hr","Up"
"Nova1",0.00621490771516718,-0.284393027801841,0.779,0.833,1,"Nova1","OPCs","PTZvsSAL_1hr","Down"
"Cplane1",0.00629551968845113,-0.787465621393811,0.263,0.349,1,"Cplane1","OPCs","PTZvsSAL_1hr","Down"
"4932438A13Rik",0.00669502384074249,0.330080834778182,0.448,0.297,1,"4932438A13Rik","OPCs","PTZvsSAL_1hr","Up"
"Ccser1",0.00700533835141796,-0.337859740521749,0.813,0.854,1,"Ccser1","OPCs","PTZvsSAL_1hr","Down"
"Srrm1",0.00732878551384551,0.4219517743238,0.338,0.214,1,"Srrm1","OPCs","PTZvsSAL_1hr","Up"
"Mtmr3",0.00776845910208099,0.545823343557281,0.319,0.203,1,"Mtmr3","OPCs","PTZvsSAL_1hr","Up"
"Cyp7b1",0.00816395360536853,0.53845438555582,0.275,0.167,1,"Cyp7b1","OPCs","PTZvsSAL_1hr","Up"
"Cstf3",0.0082490252536672,0.156511527016597,0.268,0.151,1,"Cstf3","OPCs","PTZvsSAL_1hr","Up"
"Braf",0.00859798506806769,0.384694184321483,0.399,0.26,1,"Braf","OPCs","PTZvsSAL_1hr","Up"
"Gm47283",0.00861911323834099,-0.699914415977085,0.392,0.448,1,"Gm47283","OPCs","PTZvsSAL_1hr","Down"
"Hnrnph1",0.00872396846812244,0.319729239105702,0.511,0.365,1,"Hnrnph1","OPCs","PTZvsSAL_1hr","Up"
"Rere",0.00910574761867551,-0.301065696299569,0.655,0.703,1,"Rere","OPCs","PTZvsSAL_1hr","Down"
"Cdr1os",0.0091583581935283,0.382687103227141,0.353,0.229,1,"Cdr1os","OPCs","PTZvsSAL_1hr","Up"
"Dennd1a",0.00929327311779215,-0.440281722327842,0.501,0.578,1,"Dennd1a","OPCs","PTZvsSAL_1hr","Down"
"Mmp15",0.0100992632465049,0.391851736084413,0.465,0.328,1,"Mmp15","OPCs","PTZvsSAL_1hr","Up"
"Mmp16",0.0101899873488039,0.218939041977379,0.925,0.896,1,"Mmp16","OPCs","PTZvsSAL_1hr","Up"
"Kmt2e",0.0102106159138785,0.403792380094942,0.345,0.224,1,"Kmt2e","OPCs","PTZvsSAL_1hr","Up"
