"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Csmd3",0.0017291710246042,0.510931948900406,0.307,0.217,1,"Csmd3","Astrocytes","PTZvsSAL_24hr","Up"
"Nrg3",0.00179313801931822,0.733221608777791,0.338,0.256,1,"Nrg3","Astrocytes","PTZvsSAL_24hr","Up"
"Hnrnpk",0.00183443659242091,0.570586046940325,0.299,0.207,1,"Hnrnpk","Astrocytes","PTZvsSAL_24hr","Up"
"Cmss1",0.00212927579532239,-0.6926449665472,0.244,0.325,1,"Cmss1","Astrocytes","PTZvsSAL_24hr","Down"
"Gm3764",0.00228672562081732,-0.187083988544295,0.958,0.965,1,"Gm3764","Astrocytes","PTZvsSAL_24hr","Down"
"Nt5c2",0.00229337437244634,0.542297952537483,0.263,0.176,1,"Nt5c2","Astrocytes","PTZvsSAL_24hr","Up"
"2610507B11Rik",0.00244483159461319,0.559276883769813,0.31,0.227,1,"2610507B11Rik","Astrocytes","PTZvsSAL_24hr","Up"
"Utrn",0.00248142770415658,-0.431866025661666,0.399,0.497,1,"Utrn","Astrocytes","PTZvsSAL_24hr","Down"
"Macrod2",0.00249662641091328,0.281613795269155,0.665,0.566,1,"Macrod2","Astrocytes","PTZvsSAL_24hr","Up"
"Atp5b",0.00276900322653169,0.74793772668323,0.283,0.202,1,"Atp5b","Astrocytes","PTZvsSAL_24hr","Up"
"Ptprt",0.00293542888559563,-0.283759945143621,0.742,0.806,1,"Ptprt","Astrocytes","PTZvsSAL_24hr","Down"
"Dennd1b",0.00298686142045269,-0.454971892932265,0.321,0.413,1,"Dennd1b","Astrocytes","PTZvsSAL_24hr","Down"
"Mir100hg",0.00313635866162889,-0.209000941025153,0.942,0.963,1,"Mir100hg","Astrocytes","PTZvsSAL_24hr","Down"
"Fgfr2",0.00319637424168359,-0.357705865188252,0.565,0.634,1,"Fgfr2","Astrocytes","PTZvsSAL_24hr","Down"
"Nme7",0.00320439442810682,-0.622141856598095,0.247,0.331,1,"Nme7","Astrocytes","PTZvsSAL_24hr","Down"
"Sh3rf1",0.00344246818703784,-0.441199028931218,0.274,0.376,1,"Sh3rf1","Astrocytes","PTZvsSAL_24hr","Down"
"Magi1",0.00345649813244463,-0.25245287218507,0.64,0.718,1,"Magi1","Astrocytes","PTZvsSAL_24hr","Down"
"Nfib",0.00389944958385648,-0.187837638039899,0.922,0.933,1,"Nfib","Astrocytes","PTZvsSAL_24hr","Down"
"Pdlim5",0.00390876983883167,-0.401019804225996,0.432,0.532,1,"Pdlim5","Astrocytes","PTZvsSAL_24hr","Down"
"Matr3",0.00482042112889111,0.684249265866536,0.255,0.176,1,"Matr3","Astrocytes","PTZvsSAL_24hr","Up"
"Gabrb1",0.00497492325165593,-0.151583098051075,0.809,0.914,1,"Gabrb1","Astrocytes","PTZvsSAL_24hr","Down"
"Zfp280d",0.00501944219496662,0.482552560011059,0.479,0.407,1,"Zfp280d","Astrocytes","PTZvsSAL_24hr","Up"
"Rnf180",0.00509363194104421,-0.326263888716726,0.501,0.569,1,"Rnf180","Astrocytes","PTZvsSAL_24hr","Down"
"Dync1h1",0.00511461971538523,0.652127327785118,0.294,0.215,1,"Dync1h1","Astrocytes","PTZvsSAL_24hr","Up"
"Herc4",0.00539435581498451,0.477493046164186,0.324,0.237,1,"Herc4","Astrocytes","PTZvsSAL_24hr","Up"
"Rb1",0.005479225074471,-0.371991954488869,0.407,0.485,1,"Rb1","Astrocytes","PTZvsSAL_24hr","Down"
"Dlg2",0.00557324656622283,0.922358001630994,0.319,0.249,1,"Dlg2","Astrocytes","PTZvsSAL_24hr","Up"
"Wwox",0.00561799820564764,-0.296152010787814,0.427,0.54,1,"Wwox","Astrocytes","PTZvsSAL_24hr","Down"
"Hivep2",0.00566374229775504,0.460759871339961,0.357,0.276,1,"Hivep2","Astrocytes","PTZvsSAL_24hr","Up"
"Baz2b",0.00595883289357117,-0.357490127216873,0.579,0.652,1,"Baz2b","Astrocytes","PTZvsSAL_24hr","Down"
"Tnrc6b",0.00626056097962866,-0.295671923068753,0.515,0.605,1,"Tnrc6b","Astrocytes","PTZvsSAL_24hr","Down"
"Hs6st3",0.00627370882842533,0.74125005671136,0.277,0.198,1,"Hs6st3","Astrocytes","PTZvsSAL_24hr","Up"
"Mllt10",0.00648682392432577,-0.237305812374939,0.593,0.665,1,"Mllt10","Astrocytes","PTZvsSAL_24hr","Down"
"Rasa2",0.00667465557503731,-0.355899393761643,0.46,0.536,1,"Rasa2","Astrocytes","PTZvsSAL_24hr","Down"
"Phf21a",0.00688324236397219,-0.245238774814306,0.596,0.677,1,"Phf21a","Astrocytes","PTZvsSAL_24hr","Down"
"Mgat4c",0.00704641877769946,0.649232439182469,0.377,0.294,1,"Mgat4c","Astrocytes","PTZvsSAL_24hr","Up"
"Nnat",0.00709688291589518,0.798323882187924,0.421,0.35,1,"Nnat","Astrocytes","PTZvsSAL_24hr","Up"
"Fto",0.00723357370230535,-0.590327516164139,0.296,0.37,1,"Fto","Astrocytes","PTZvsSAL_24hr","Down"
"Ppp1r14c",0.00733280797442465,0.451896624722253,0.266,0.186,1,"Ppp1r14c","Astrocytes","PTZvsSAL_24hr","Up"
"Pabpn1",0.00743137854881005,-0.166263467481053,0.687,0.761,1,"Pabpn1","Astrocytes","PTZvsSAL_24hr","Down"
"Naa15",0.00760362792717015,-0.619432010910548,0.227,0.305,1,"Naa15","Astrocytes","PTZvsSAL_24hr","Down"
"Tnc",0.00769144015565987,-0.266049064840306,0.706,0.783,1,"Tnc","Astrocytes","PTZvsSAL_24hr","Down"
"Lars2",0.00794529778307652,-0.548598384672997,0.219,0.294,1,"Lars2","Astrocytes","PTZvsSAL_24hr","Down"
"Palld",0.00795466459747077,-0.425783833466951,0.366,0.452,1,"Palld","Astrocytes","PTZvsSAL_24hr","Down"
"Mid1",0.00819738510035536,-0.511330998163856,0.269,0.352,1,"Mid1","Astrocytes","PTZvsSAL_24hr","Down"
"Large1",0.00830349805581099,0.345330590705026,0.54,0.464,1,"Large1","Astrocytes","PTZvsSAL_24hr","Up"
"Pdzrn3",0.00832017364125862,-0.546533176258456,0.413,0.491,1,"Pdzrn3","Astrocytes","PTZvsSAL_24hr","Down"
"Sobp",0.00840173693419062,0.497669413657372,0.291,0.215,1,"Sobp","Astrocytes","PTZvsSAL_24hr","Up"
"Tmem164",0.00946239709771834,-0.352182136609283,0.435,0.515,1,"Tmem164","Astrocytes","PTZvsSAL_24hr","Down"
"Crebbp",0.00948153690209751,-0.265840028230479,0.452,0.548,1,"Crebbp","Astrocytes","PTZvsSAL_24hr","Down"
"Tenm2",0.00954007030180986,0.498080831161853,0.307,0.237,1,"Tenm2","Astrocytes","PTZvsSAL_24hr","Up"
"Dalrd3",0.00973223791470262,0.71127447234926,0.296,0.225,1,"Dalrd3","Astrocytes","PTZvsSAL_24hr","Up"
"Lrba",0.00978157204448788,-0.419562344104862,0.399,0.479,1,"Lrba","Astrocytes","PTZvsSAL_24hr","Down"
