"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cpsf6",6.19204965897794e-06,-0.544562068117969,0.593,0.744,0.155092267808421,"Cpsf6","CGE","24hrvs1hr_PTZ","Down"
"Rasgrf1",6.37939965707792e-06,-1.82347054992919,0.136,0.287,0.159784823210831,"Rasgrf1","CGE","24hrvs1hr_PTZ","Down"
"Hsd17b12",9.21324380669436e-06,-0.688452036494783,0.178,0.372,0.230764117626274,"Hsd17b12","CGE","24hrvs1hr_PTZ","Down"
"Clstn3",9.22057144280379e-06,-0.743109106358839,0.36,0.557,0.230947652927906,"Clstn3","CGE","24hrvs1hr_PTZ","Down"
"Rgs7bp",9.23272798240931e-06,-1.06981627463097,0.364,0.543,0.231252137775406,"Rgs7bp","CGE","24hrvs1hr_PTZ","Down"
"Meg3",1.01214391319047e-05,0.251899213360105,0.995,0.997,0.253511685936817,"Meg3","CGE","24hrvs1hr_PTZ","Up"
"Pclo",1.15579861484207e-05,-0.479579955324644,0.776,0.855,0.289492879059493,"Pclo","CGE","24hrvs1hr_PTZ","Down"
"Fau",1.15621200031415e-05,-0.770035438533648,0.112,0.276,0.289596419718685,"Fau","CGE","24hrvs1hr_PTZ","Down"
"Ctsb",1.16950348920551e-05,-1.16237596600275,0.103,0.256,0.292925538941305,"Ctsb","CGE","24hrvs1hr_PTZ","Down"
"Snrnp70",1.24411829470011e-05,0.607022469798396,0.771,0.753,0.311614309273536,"Snrnp70","CGE","24hrvs1hr_PTZ","Up"
"Arih1",1.24781643693104e-05,-0.511934242870262,0.547,0.724,0.312540582958118,"Arih1","CGE","24hrvs1hr_PTZ","Down"
"Calm1",1.29146400109981e-05,-0.671997973220166,0.327,0.52,0.323472988355468,"Calm1","CGE","24hrvs1hr_PTZ","Down"
"Trim44",1.6604470530038e-05,-0.831499698299835,0.294,0.48,0.415892173365861,"Trim44","CGE","24hrvs1hr_PTZ","Down"
"Rplp1",1.9858560669477e-05,-0.880473068179143,0.201,0.378,0.49739736908839,"Rplp1","CGE","24hrvs1hr_PTZ","Down"
"Tmsb4x",2.14810674890783e-05,-0.568011359215789,0.15,0.324,0.538036297398944,"Tmsb4x","CGE","24hrvs1hr_PTZ","Down"
"Rims2",2.23712949699102e-05,-0.368083148689899,0.925,0.977,0.56033382511134,"Rims2","CGE","24hrvs1hr_PTZ","Down"
"Mapk10",2.37035801623779e-05,-0.387844790194399,0.738,0.864,0.593703572327079,"Mapk10","CGE","24hrvs1hr_PTZ","Down"
"Cst3",2.45470643217788e-05,-0.361421496738381,0.276,0.472,0.614830320067594,"Cst3","CGE","24hrvs1hr_PTZ","Down"
"Far1",2.95801388308361e-05,-0.592761029586861,0.393,0.582,0.740893737295953,"Far1","CGE","24hrvs1hr_PTZ","Down"
"Pde10a",3.03319217969106e-05,-0.870250751048459,0.551,0.693,0.75972364524722,"Pde10a","CGE","24hrvs1hr_PTZ","Down"
"Gpr158",3.24783549076925e-05,-0.774819737847964,0.444,0.605,0.813485355372973,"Gpr158","CGE","24hrvs1hr_PTZ","Down"
"Atp6v1b2",3.39464468896953e-05,-0.805598241363157,0.318,0.48,0.850256655246197,"Atp6v1b2","CGE","24hrvs1hr_PTZ","Down"
"Scg5",3.71851996705072e-05,-0.559436583880387,0.364,0.557,0.931377696147195,"Scg5","CGE","24hrvs1hr_PTZ","Down"
"Slc4a10",3.73254537454942e-05,-0.503518348043158,0.692,0.818,0.934890639963393,"Slc4a10","CGE","24hrvs1hr_PTZ","Down"
"Atm",3.77459279922442e-05,1.46552127023906,0.294,0.159,0.94542225842174,"Atm","CGE","24hrvs1hr_PTZ","Up"
"Gnas",4.31122012666056e-05,-0.566228991413026,0.407,0.597,1,"Gnas","CGE","24hrvs1hr_PTZ","Down"
"Hnrnph1",4.50971674902392e-05,-0.454570721598424,0.449,0.665,1,"Hnrnph1","CGE","24hrvs1hr_PTZ","Down"
"H13",5.32750833434716e-05,-1.31826350998411,0.14,0.284,1,"H13","CGE","24hrvs1hr_PTZ","Down"
"Itm2b",5.86371884335164e-05,-0.53660278485967,0.393,0.58,1,"Itm2b","CGE","24hrvs1hr_PTZ","Down"
"Lrba",6.14357472770223e-05,-0.611945698901497,0.589,0.741,1,"Lrba","CGE","24hrvs1hr_PTZ","Down"
"Chgb",7.12203209605072e-05,-0.838163151204069,0.121,0.267,1,"Chgb","CGE","24hrvs1hr_PTZ","Down"
"Myt1l",7.19586527675103e-05,0.404715444417298,0.93,0.889,1,"Myt1l","CGE","24hrvs1hr_PTZ","Up"
"Akt3",7.50629434021825e-05,-0.432289772065593,0.879,0.92,1,"Akt3","CGE","24hrvs1hr_PTZ","Down"
"Gm49179",7.66367642328771e-05,1.50365947296499,0.322,0.196,1,"Gm49179","CGE","24hrvs1hr_PTZ","Up"
"Hsp90ab1",8.22164876076155e-05,-0.491331111415569,0.421,0.597,1,"Hsp90ab1","CGE","24hrvs1hr_PTZ","Down"
"St7",8.75572500101368e-05,-0.50969838837422,0.565,0.727,1,"St7","CGE","24hrvs1hr_PTZ","Down"
"Mir100hg",8.85626663080758e-05,0.443594989015561,0.879,0.821,1,"Mir100hg","CGE","24hrvs1hr_PTZ","Up"
"Eif4a2",8.99804769823139e-05,-0.583419573550029,0.383,0.571,1,"Eif4a2","CGE","24hrvs1hr_PTZ","Down"
"Jakmip2",9.58986553486667e-05,0.536390817768624,0.729,0.69,1,"Jakmip2","CGE","24hrvs1hr_PTZ","Up"
"Cpeb1",9.9612603768879e-05,-0.937220860063064,0.164,0.315,1,"Cpeb1","CGE","24hrvs1hr_PTZ","Down"
"Cct4",0.000105832253548282,-1.29966038071148,0.121,0.25,1,"Cct4","CGE","24hrvs1hr_PTZ","Down"
"Thy1",0.000109340169343066,-1.12941500478698,0.15,0.293,1,"Thy1","CGE","24hrvs1hr_PTZ","Down"
"Ubr5",0.000113337094260265,-0.404218592703201,0.687,0.798,1,"Ubr5","CGE","24hrvs1hr_PTZ","Down"
"Ubb",0.000113469734412539,-0.731128559647311,0.22,0.386,1,"Ubb","CGE","24hrvs1hr_PTZ","Down"
"Ckb",0.000118805656131568,-0.713951918151907,0.355,0.526,1,"Ckb","CGE","24hrvs1hr_PTZ","Down"
"Dusp11",0.000125136474813538,0.776566586293169,0.449,0.31,1,"Dusp11","CGE","24hrvs1hr_PTZ","Up"
"Ctnnal1",0.000127521718945297,-0.869125169026593,0.173,0.327,1,"Ctnnal1","CGE","24hrvs1hr_PTZ","Down"
"Srsf11",0.000132126226106189,-0.505240513151571,0.528,0.662,1,"Srsf11","CGE","24hrvs1hr_PTZ","Down"
"Syt4",0.000144463150877099,-0.385641610469848,0.136,0.284,1,"Syt4","CGE","24hrvs1hr_PTZ","Down"
"Adcyap1r1",0.00016057481075558,-0.938878208065608,0.154,0.293,1,"Adcyap1r1","CGE","24hrvs1hr_PTZ","Down"
"Hivep2",0.000161174745027758,-0.529245667592156,0.505,0.642,1,"Hivep2","CGE","24hrvs1hr_PTZ","Down"
"Cdr1os",0.000171605949651248,-0.495197039169387,0.626,0.741,1,"Cdr1os","CGE","24hrvs1hr_PTZ","Down"
"Kpna1",0.000175065171150709,-0.827614776771915,0.224,0.378,1,"Kpna1","CGE","24hrvs1hr_PTZ","Down"
"Gapdh",0.00018040357630895,-0.490563510032055,0.248,0.412,1,"Gapdh","CGE","24hrvs1hr_PTZ","Down"
"Btaf1",0.000193159775168768,-0.703305013816558,0.285,0.443,1,"Btaf1","CGE","24hrvs1hr_PTZ","Down"
"Pantr1",0.000205762228998943,1.29023718605202,0.285,0.162,1,"Pantr1","CGE","24hrvs1hr_PTZ","Up"
"Exoc5",0.000206224243389354,-0.650206125602476,0.383,0.526,1,"Exoc5","CGE","24hrvs1hr_PTZ","Down"
"Kcnn2",0.000209925686364034,-0.495059899699878,0.659,0.739,1,"Kcnn2","CGE","24hrvs1hr_PTZ","Down"
"Aff4",0.000223452029815922,-0.417929658885644,0.509,0.662,1,"Aff4","CGE","24hrvs1hr_PTZ","Down"
"Sik2",0.000226996416118752,-0.911137431134363,0.299,0.435,1,"Sik2","CGE","24hrvs1hr_PTZ","Down"
"Lmtk2",0.000234602107533895,-0.850568297646184,0.187,0.33,1,"Lmtk2","CGE","24hrvs1hr_PTZ","Down"
"Rasgrf2",0.000235866574614002,-0.589041240084282,0.43,0.574,1,"Rasgrf2","CGE","24hrvs1hr_PTZ","Down"
"Syt11",0.00024004976499049,-0.538362798626913,0.416,0.58,1,"Syt11","CGE","24hrvs1hr_PTZ","Down"
"Gmds",0.000256104158681184,-0.477132240503839,0.463,0.639,1,"Gmds","CGE","24hrvs1hr_PTZ","Down"
"Faf1",0.000284216569246346,-0.394463307563364,0.664,0.784,1,"Faf1","CGE","24hrvs1hr_PTZ","Down"
"Sf3b1",0.000285067645377836,-0.524704384603146,0.416,0.562,1,"Sf3b1","CGE","24hrvs1hr_PTZ","Down"
"Chm",0.00030268959512723,-0.585189633351557,0.439,0.588,1,"Chm","CGE","24hrvs1hr_PTZ","Down"
"Mef2c",0.000306778508515649,0.490595626068766,0.706,0.625,1,"Mef2c","CGE","24hrvs1hr_PTZ","Up"
"Rufy3",0.000327338884968476,0.725656720305848,0.598,0.503,1,"Rufy3","CGE","24hrvs1hr_PTZ","Up"
"Cnksr2",0.000338055305632214,-0.671712587734669,0.486,0.619,1,"Cnksr2","CGE","24hrvs1hr_PTZ","Down"
"Bbip1",0.000345750391571535,1.30079134464099,0.262,0.151,1,"Bbip1","CGE","24hrvs1hr_PTZ","Up"
"Atp5h",0.000355708492433387,-0.766061094390822,0.14,0.273,1,"Atp5h","CGE","24hrvs1hr_PTZ","Down"
"Timp2",0.000364087251308404,-0.788004800220615,0.196,0.338,1,"Timp2","CGE","24hrvs1hr_PTZ","Down"
"Igf1",0.000364141977509182,-0.782454610465187,0.393,0.511,1,"Igf1","CGE","24hrvs1hr_PTZ","Down"
"Srgap3",0.000369699972902946,0.574629195971341,0.664,0.605,1,"Srgap3","CGE","24hrvs1hr_PTZ","Up"
"Stxbp5l",0.000377586893805717,-0.58457121378522,0.607,0.741,1,"Stxbp5l","CGE","24hrvs1hr_PTZ","Down"
"Psap",0.000377948614832863,-0.638497550782091,0.425,0.571,1,"Psap","CGE","24hrvs1hr_PTZ","Down"
"2210408I21Rik",0.000378798900790937,-0.369935870168716,0.565,0.716,1,"2210408I21Rik","CGE","24hrvs1hr_PTZ","Down"
"Gm47283",0.000415625888961299,-0.482461676249187,0.491,0.631,1,"Gm47283","CGE","24hrvs1hr_PTZ","Down"
"Afg3l2",0.000423520351175253,-1.074910401823,0.126,0.25,1,"Afg3l2","CGE","24hrvs1hr_PTZ","Down"
"Mbd5",0.0004266745441681,-0.371982372243454,0.822,0.858,1,"Mbd5","CGE","24hrvs1hr_PTZ","Down"
"Nol4",0.000442459802271064,-0.262408315972745,0.64,0.801,1,"Nol4","CGE","24hrvs1hr_PTZ","Down"
"Rps8",0.000466267625374375,-0.600776609410178,0.187,0.324,1,"Rps8","CGE","24hrvs1hr_PTZ","Down"
"Nap1l1",0.000466528040917208,-0.806846421408285,0.266,0.406,1,"Nap1l1","CGE","24hrvs1hr_PTZ","Down"
"Lars2",0.000471420085448737,-0.475677682686851,0.294,0.452,1,"Lars2","CGE","24hrvs1hr_PTZ","Down"
"Magi2",0.000485449361267332,-0.221705494356754,0.949,0.969,1,"Magi2","CGE","24hrvs1hr_PTZ","Down"
"Cds2",0.000490928345829712,-0.947746961633752,0.173,0.304,1,"Cds2","CGE","24hrvs1hr_PTZ","Down"
"Ociad1",0.000495849951914012,-0.631091411864649,0.178,0.321,1,"Ociad1","CGE","24hrvs1hr_PTZ","Down"
"Tnrc18",0.000499350027872501,0.737966802903249,0.551,0.429,1,"Tnrc18","CGE","24hrvs1hr_PTZ","Up"
"Fam76b",0.000511650049124291,-0.686917665717413,0.14,0.276,1,"Fam76b","CGE","24hrvs1hr_PTZ","Down"
"Gphn",0.000514071120505003,-0.291913925780782,0.888,0.952,1,"Gphn","CGE","24hrvs1hr_PTZ","Down"
"Dnm1",0.000524451022464722,-0.57137690807193,0.28,0.426,1,"Dnm1","CGE","24hrvs1hr_PTZ","Down"
"Hspa8",0.000543718780310072,-0.264849472400407,0.449,0.642,1,"Hspa8","CGE","24hrvs1hr_PTZ","Down"
"Cox7b",0.000587102228404255,0.978739789527051,0.453,0.355,1,"Cox7b","CGE","24hrvs1hr_PTZ","Up"
"Tfg",0.000601047053928771,-0.829027232936113,0.168,0.298,1,"Tfg","CGE","24hrvs1hr_PTZ","Down"
"Atp6v1a",0.00062531620463543,-0.512510646666109,0.257,0.403,1,"Atp6v1a","CGE","24hrvs1hr_PTZ","Down"
"Gm4258",0.000643788382165458,0.919499609189379,0.551,0.491,1,"Gm4258","CGE","24hrvs1hr_PTZ","Up"
"Gmip",0.00064853241744799,1.28017740157651,0.262,0.151,1,"Gmip","CGE","24hrvs1hr_PTZ","Up"
"Cdkal1",0.000648867976937394,-0.475320415373718,0.318,0.483,1,"Cdkal1","CGE","24hrvs1hr_PTZ","Down"
"Galnt13",0.000657576248736612,-0.473691116249926,0.486,0.636,1,"Galnt13","CGE","24hrvs1hr_PTZ","Down"
"Glyr1",0.000666965093233631,-0.407615601646561,0.192,0.332,1,"Glyr1","CGE","24hrvs1hr_PTZ","Down"
"Kcnc1",0.000667936149513577,-0.510781661731527,0.21,0.355,1,"Kcnc1","CGE","24hrvs1hr_PTZ","Down"
"Rpl19",0.000685841611259012,-0.581553972981372,0.178,0.312,1,"Rpl19","CGE","24hrvs1hr_PTZ","Down"
"Tspan3",0.000720053953214905,-0.618092490707537,0.299,0.449,1,"Tspan3","CGE","24hrvs1hr_PTZ","Down"
"Scn1a",0.000729789549882928,-0.446276028774291,0.509,0.662,1,"Scn1a","CGE","24hrvs1hr_PTZ","Down"
"9930021J03Rik",0.000743521106842888,-0.605093011936952,0.393,0.54,1,"9930021J03Rik","CGE","24hrvs1hr_PTZ","Down"
"Ppp2r1a",0.00075002310261086,-0.77724267648584,0.14,0.261,1,"Ppp2r1a","CGE","24hrvs1hr_PTZ","Down"
"Lcor",0.000781409008593919,0.642902959475288,0.575,0.466,1,"Lcor","CGE","24hrvs1hr_PTZ","Up"
"Tuba1a",0.000820842716654523,-0.353643840360432,0.771,0.855,1,"Tuba1a","CGE","24hrvs1hr_PTZ","Down"
"Matr3",0.000821662697605115,-0.561434298354532,0.341,0.474,1,"Matr3","CGE","24hrvs1hr_PTZ","Down"
"Hcn1",0.00084476619808815,-0.418021146667281,0.631,0.767,1,"Hcn1","CGE","24hrvs1hr_PTZ","Down"
"Dido1",0.000861370790933672,-0.561851529214263,0.178,0.31,1,"Dido1","CGE","24hrvs1hr_PTZ","Down"
"Slc12a5",0.000863780111089447,-0.509943324121423,0.285,0.429,1,"Slc12a5","CGE","24hrvs1hr_PTZ","Down"
"Cd81",0.000884971175084795,-0.482122980563554,0.22,0.364,1,"Cd81","CGE","24hrvs1hr_PTZ","Down"
"mt-Nd3",0.000919066260134442,1.40259409390263,0.294,0.19,1,"mt-Nd3","CGE","24hrvs1hr_PTZ","Up"
"Mif",0.000926307565187764,-0.618870770059505,0.14,0.27,1,"Mif","CGE","24hrvs1hr_PTZ","Down"
"Foxn3",0.000930069074765313,0.494971172244339,0.687,0.597,1,"Foxn3","CGE","24hrvs1hr_PTZ","Up"
