"","target","source","weight"
"118","Nfix","R3hdm1",0.0577090887254815
"119","Zbtb16","R3hdm1",0.0526156163351096
"120","Zeb2","R3hdm1",0.066715673617984
"121","Zfp811","R3hdm1",0.0160603635998606
"122","Hnrnpll","R3hdm1",0.0359567721681152
"123","Las1l","R3hdm1",0.0451526912187171
"124","Rufy3","R3hdm1",0.0436123207481451
"125","Snrnp70","R3hdm1",0.0707770760928547
"126","Zmat4","R3hdm1",0.0293864259978388
"127","Sox5","Pik3c2b",0.0482077534886674
"128","Pbx1","Pik3c2b",0.0768222451201488
"129","Pou2f2","Pik3c2b",0.0229579650357522
"130","Foxp1","Pik3c2b",0.0807552763835515
"131","Esrrg","Pik3c2b",0.0317351658282839
"132","Rora","Pik3c2b",0.0536737621766619
"133","Tcf4","Pik3c2b",0.109794614373334
"134","Bach2","Pik3c2b",0.0600929487215856
"135","Bcl11a","Pik3c2b",0.0682827130319211
"136","Nfix","Pik3c2b",0.0574671940441727
"137","Zbtb16","Pik3c2b",0.0319082472261179
"138","Zeb2","Pik3c2b",0.0919113100957553
"139","Zfp811","Pik3c2b",0.0228960500333304
"140","Hnrnpll","Pik3c2b",0.0317015244600752
"141","Las1l","Pik3c2b",0.057553593283293
"142","Rufy3","Pik3c2b",0.0520178364946776
"143","Snrnp70","Pik3c2b",0.0778190607681003
"144","Zmat4","Pik3c2b",0.0244027394345712
"145","Sox5","Nav1",0.0536244829104003
"146","Pbx1","Nav1",0.0794689692931301
"147","Pou2f2","Nav1",0.0202525367576859
"148","Foxp1","Nav1",0.0641593659970178
"149","Esrrg","Nav1",0.0303102330908599
"150","Rora","Nav1",0.0634034670977549
"151","Tcf4","Nav1",0.114452689947763
"152","Bach2","Nav1",0.0641260442578448
"153","Bcl11a","Nav1",0.0548586252178909
"154","Nfix","Nav1",0.0631466921342318
"155","Zbtb16","Nav1",0.0345294591965766
"156","Zeb2","Nav1",0.0832402016994353
"157","Zfp811","Nav1",0.020956089121471
"158","Hnrnpll","Nav1",0.0340803952440468
"159","Las1l","Nav1",0.0520145891087884
"160","Rufy3","Nav1",0.0528395826598252
"161","Snrnp70","Nav1",0.0800079663582037
"162","Zmat4","Nav1",0.0345286099070735
"163","Sox5","Gm4258",0.0756734689675184
"164","Pbx1","Gm4258",0.0870471233259457
"165","Pou2f2","Gm4258",0.0178898580962803
"166","Foxp1","Gm4258",0.060153453006194
"167","Esrrg","Gm4258",0.0326363093323644
"168","Rora","Gm4258",0.0593784473049299
"169","Tcf4","Gm4258",0.106385235073945
"170","Bach2","Gm4258",0.0624863027706303
"171","Bcl11a","Gm4258",0.0646498801395072
"172","Nfix","Gm4258",0.0501624095001119
"173","Zbtb16","Gm4258",0.0336609874265601
"174","Zeb2","Gm4258",0.0711038812360176
"175","Zfp811","Gm4258",0.0179977814883098
"176","Hnrnpll","Gm4258",0.0325526570145516
"177","Las1l","Gm4258",0.0658444912423784
"178","Rufy3","Gm4258",0.0599076332024968
"179","Snrnp70","Gm4258",0.0726301430767659
"180","Zmat4","Gm4258",0.0298399377954925
"181","Sox5","Atp1b1",0.0485679620150943
"182","Pbx1","Atp1b1",0.0725980468414001
"183","Pou2f2","Atp1b1",0.0152611006579593
"184","Foxp1","Atp1b1",0.0650665133181853
"185","Esrrg","Atp1b1",0.0279487109005963
"186","Rora","Atp1b1",0.0805786310739596
"187","Tcf4","Atp1b1",0.102707194213325
"188","Bach2","Atp1b1",0.066345790740001
"189","Bcl11a","Atp1b1",0.0514095674474201
"190","Nfix","Atp1b1",0.064220013927019
"191","Zbtb16","Atp1b1",0.0656036676062721
"192","Zeb2","Atp1b1",0.0668755166572908
"193","Zfp811","Atp1b1",0.0166028685023122
"194","Hnrnpll","Atp1b1",0.0293197023612702
"195","Las1l","Atp1b1",0.0500885047639814
"196","Rufy3","Atp1b1",0.0441819791570927
"197","Snrnp70","Atp1b1",0.0663889120780678
"198","Zmat4","Atp1b1",0.0662353177387526
"199","Sox5","Pbx1",0.107505757692637
"200","Pbx1","Pbx1",0
"201","Pou2f2","Pbx1",0.0176163633240765
"202","Foxp1","Pbx1",0.0884191765933642
"203","Esrrg","Pbx1",0.0325727827373022
"204","Rora","Pbx1",0.08192779997597
"205","Tcf4","Pbx1",0.106205805745741
"206","Bach2","Pbx1",0.0659917383086581
"207","Bcl11a","Pbx1",0.0715607694682164
"208","Nfix","Pbx1",0.0531444742528285
"209","Zbtb16","Pbx1",0.034792190205793
"210","Zeb2","Pbx1",0.0820992172116614
"211","Zfp811","Pbx1",0.0180517834852548
"212","Hnrnpll","Pbx1",0.0292601695718371
"213","Las1l","Pbx1",0.0482195106269988
"214","Rufy3","Pbx1",0.0459299182572334
"215","Snrnp70","Pbx1",0.0751449182038099
"216","Zmat4","Pbx1",0.0415576243386182
"217","Sox5","Nos1ap",0.0589130560195989
"218","Pbx1","Nos1ap",0.0809614490006844
"219","Pou2f2","Nos1ap",0.0158122659036495
"220","Foxp1","Nos1ap",0.0756114507437277
"221","Esrrg","Nos1ap",0.0304766598558902
"222","Rora","Nos1ap",0.0605199705772921
"223","Tcf4","Nos1ap",0.0926793565125363
"224","Bach2","Nos1ap",0.0550502114736199
"225","Bcl11a","Nos1ap",0.0630231795246963
"226","Nfix","Nos1ap",0.0525420491906448
"227","Zbtb16","Nos1ap",0.0650395110825735
"228","Zeb2","Nos1ap",0.0762002088657117
"229","Zfp811","Nos1ap",0.0166903219200876
"230","Hnrnpll","Nos1ap",0.0521647696885401
"231","Las1l","Nos1ap",0.0471308902204305
"232","Rufy3","Nos1ap",0.0525076725422925
"233","Snrnp70","Nos1ap",0.0686887790321736
"234","Zmat4","Nos1ap",0.0359881978458503
"235","Sox5","Akt3",0.0509129770383101
"236","Pbx1","Akt3",0.0901291226499294
"237","Pou2f2","Akt3",0.0177875897374377
"238","Foxp1","Akt3",0.0797141354736783
"239","Esrrg","Akt3",0.0312485951075068
"240","Rora","Akt3",0.0725003772778899
"241","Tcf4","Akt3",0.109630125311883
"242","Bach2","Akt3",0.0589697427897429
"243","Bcl11a","Akt3",0.0809203718068532
"244","Nfix","Akt3",0.0536284793240332
"245","Zbtb16","Akt3",0.027792430024131
"246","Zeb2","Akt3",0.0786059579488712
"247","Zfp811","Akt3",0.0172189630537616
"248","Hnrnpll","Akt3",0.0285436053541585
"249","Las1l","Akt3",0.0497031256230709
"250","Rufy3","Akt3",0.0465945272548829
"251","Snrnp70","Akt3",0.0788741475512605
"252","Zmat4","Akt3",0.0272257266725987
"253","Sox5","Esrrg",0.0860071937923712
"254","Pbx1","Esrrg",0.0791807871686999
"255","Pou2f2","Esrrg",0.0203288030428302
"256","Foxp1","Esrrg",0.0771514004837756
"257","Esrrg","Esrrg",0
"258","Rora","Esrrg",0.0777707126439694
"259","Tcf4","Esrrg",0.0903647405601039
"260","Bach2","Esrrg",0.057707437517353
"261","Bcl11a","Esrrg",0.0579886978579342
"262","Nfix","Esrrg",0.0479520894247947
"263","Zbtb16","Esrrg",0.0346235373219622
"264","Zeb2","Esrrg",0.0798542986545355
"265","Zfp811","Esrrg",0.018295422716695
"266","Hnrnpll","Esrrg",0.033134654417393
"267","Las1l","Esrrg",0.0594735775985471
"268","Rufy3","Esrrg",0.0535482757285554
"269","Snrnp70","Esrrg",0.0721565509606756
"270","Zmat4","Esrrg",0.0544618201098043
"271","Sox5","Frmd4a",0.0634352247414211
"272","Pbx1","Frmd4a",0.0812940959051502
"273","Pou2f2","Frmd4a",0.0152750568451159
"274","Foxp1","Frmd4a",0.107455796080214
"275","Esrrg","Frmd4a",0.0238397259495065
"276","Rora","Frmd4a",0.0827400758704391
"277","Tcf4","Frmd4a",0.0818513578204197
"278","Bach2","Frmd4a",0.0571464059747931
"279","Bcl11a","Frmd4a",0.0699902612338704
"280","Nfix","Frmd4a",0.0538101796981545
"281","Zbtb16","Frmd4a",0.0270997299829629
"282","Zeb2","Frmd4a",0.0670586470260904
"283","Zfp811","Frmd4a",0.0157393368647657
"284","Hnrnpll","Frmd4a",0.0266595068960108
"285","Las1l","Frmd4a",0.0688597857936717
"286","Rufy3","Frmd4a",0.0580057552962839
"287","Snrnp70","Frmd4a",0.0691380946276869
"288","Zmat4","Frmd4a",0.030600963393443
"289","Sox5","Cacna1b",0.0397800313944138
"290","Pbx1","Cacna1b",0.0653096476115928
"291","Pou2f2","Cacna1b",0.017126479292449
"292","Foxp1","Cacna1b",0.100307137358214
"293","Esrrg","Cacna1b",0.0266313080351469
"294","Rora","Cacna1b",0.0874619265108501
"295","Tcf4","Cacna1b",0.0784203633440843
"296","Bach2","Cacna1b",0.0540110086552458
"297","Bcl11a","Cacna1b",0.081133292839893
"298","Nfix","Cacna1b",0.0584930916417618
"299","Zbtb16","Cacna1b",0.0323518586630413
"300","Zeb2","Cacna1b",0.0690460692565579
"301","Zfp811","Cacna1b",0.0154739906024007
"302","Hnrnpll","Cacna1b",0.0278251506833867
"303","Las1l","Cacna1b",0.0810209556985569
"304","Rufy3","Cacna1b",0.0608175745479116
"305","Snrnp70","Cacna1b",0.0675162207568497
"306","Zmat4","Cacna1b",0.0372738931076441
"307","Sox5","Zeb2",0.0661249321904814
"308","Pbx1","Zeb2",0.0799188167088405
"309","Pou2f2","Zeb2",0.0161931606420086
"310","Foxp1","Zeb2",0.0761944647998965
"311","Esrrg","Zeb2",0.0343397257312291
"312","Rora","Zeb2",0.0879740592075439
"313","Tcf4","Zeb2",0.184261994746007
"314","Bach2","Zeb2",0.0596317021271003
"315","Bcl11a","Zeb2",0.0594020743285955
"316","Nfix","Zeb2",0.0473548901874364
"317","Zbtb16","Zeb2",0.0308768038759035
"318","Zeb2","Zeb2",0
"319","Zfp811","Zeb2",0.0157415146116233
"320","Hnrnpll","Zeb2",0.0301276479981079
"321","Las1l","Zeb2",0.0478254898994684
"322","Rufy3","Zeb2",0.0444962477157916
"323","Snrnp70","Zeb2",0.0657137978315128
"324","Zmat4","Zeb2",0.0538226773984531
"325","Sox5","Mbd5",0.0514033337283057
"326","Pbx1","Mbd5",0.0815389033498361
"327","Pou2f2","Mbd5",0.0193964106402917
"328","Foxp1","Mbd5",0.0685808123874708
"329","Esrrg","Mbd5",0.0287196735491597
"330","Rora","Mbd5",0.0684483376493722
"331","Tcf4","Mbd5",0.110536460700568
"332","Bach2","Mbd5",0.0664013747115844
"333","Bcl11a","Mbd5",0.0536319951353727
"334","Nfix","Mbd5",0.0591257079235432
"335","Zbtb16","Mbd5",0.0356634972592864
"336","Zeb2","Mbd5",0.0809778441156181
"337","Zfp811","Mbd5",0.0199655143819367
"338","Hnrnpll","Mbd5",0.0324288305977691
"339","Las1l","Mbd5",0.0531823230559644
"340","Rufy3","Mbd5",0.0532178672737045
"341","Snrnp70","Mbd5",0.0861731578517988
"342","Zmat4","Mbd5",0.0306079556884171
"343","Sox5","Galnt13",0.0821186149521483
"344","Pbx1","Galnt13",0.0836388389246363
"345","Pou2f2","Galnt13",0.0187680344790588
"346","Foxp1","Galnt13",0.0601283773211338
"347","Esrrg","Galnt13",0.034764501032019
"348","Rora","Galnt13",0.0716338235207697
"349","Tcf4","Galnt13",0.106891053002118
"350","Bach2","Galnt13",0.0543182681195187
"351","Bcl11a","Galnt13",0.0502103361707479
"352","Nfix","Galnt13",0.060806662867839
"353","Zbtb16","Galnt13",0.0360834233285732
"354","Zeb2","Galnt13",0.0804106707771589
"355","Zfp811","Galnt13",0.0171185872043806
"356","Hnrnpll","Galnt13",0.0310713275005413
"357","Las1l","Galnt13",0.047701661844947
"358","Rufy3","Galnt13",0.0467729964429861
"359","Snrnp70","Galnt13",0.0775643274093026
"360","Zmat4","Galnt13",0.0399984951021213
"361","Sox5","Slc4a10",0.0562066254608351
"362","Pbx1","Slc4a10",0.0714924042766003
"363","Pou2f2","Slc4a10",0.0151403251264869
