"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","direction"
"MA1619.1",7,85,14.8936170212766,17,0.876095118898623,0.72010430018342,"Ptf1a(var.2)",1,"down"
"MA0514.1",11,130,23.4042553191489,26,0.900163666121113,0.720839893850717,"Sox3",1,"down"
"MA0816.1",9,108,19.1489361702128,21.6,0.886524822695036,0.724446745734132,"Ascl2",1,"down"
"MA1608.1",2,28,4.25531914893617,5.6,0.759878419452887,0.762431069374067,"Isl1",1,"down"
"MA1616.1",6,77,12.7659574468085,15.4,0.828958275766786,0.763751373744589,"Prdm15",1,"down"
"MA0614.1",2,29,4.25531914893617,5.8,0.733675715333822,0.779922011969238,"Foxj2",1,"down"
"MA1629.1",13,159,27.6595744680851,31.8,0.869797939247959,0.787744461053148,"Zic2",1,"down"
"MA0896.1",2,30,4.25531914893617,6,0.709219858156028,0.796306839450337,"Hmx1",1,"down"
"MA0002.2",8,104,17.0212765957447,20.8,0.818330605564648,0.802677514549193,"RUNX1",1,"down"
"MA0520.1",6,81,12.7659574468085,16.2,0.788022064617809,0.808004772876727,"Stat6",1,"down"
"MA0854.1",2,31,4.25531914893617,6.2,0.686341798215511,0.811633805729428,"Alx1",1,"down"
"MA0898.1",2,31,4.25531914893617,6.2,0.686341798215511,0.811633805729428,"Hmx3",1,"down"
"MA0259.1",1,17,2.12765957446809,3.4,0.625782227784731,0.818602194903865,"ARNT::HIF1A",1,"down"
"MA1628.1",13,164,27.6595744680851,32.8,0.843279709392839,0.829028389810092,"Zic1::Zic2",1,"down"
"MA0857.1",4,59,8.51063829787234,11.8,0.721240533717995,0.834267122830566,"Rarb",1,"down"
"MA0602.1",2,33,4.25531914893617,6.6,0.644745325596389,0.839311000273842,"Arid5a",1,"down"
"MA0467.1",2,34,4.25531914893617,6.8,0.625782227784731,0.851759929147954,"Crx",1,"down"
"MA0503.1",5,74,10.6382978723404,14.8,0.718803910293272,0.85727282357187,"Nkx2-5(var.2)",1,"down"
"MA0494.1",4,62,8.51063829787234,12.4,0.686341798215511,0.863333688632064,"Nr1h3::Rxra",1,"down"
"MA0124.2",2,35,4.25531914893617,7,0.60790273556231,0.863347519725664,"Nkx3-1",1,"down"
"MA0897.1",2,35,4.25531914893617,7,0.60790273556231,0.863347519725664,"Hmx2",1,"down"
"MA0483.1",4,63,8.51063829787234,12.6,0.675447483958122,0.872040024366469,"Gfi1b",1,"down"
"MA0832.1",4,64,8.51063829787234,12.8,0.664893617021277,0.880282155014807,"Tcf21",1,"down"
"MA0853.1",1,23,2.12765957446809,4.6,0.462534690101758,0.902185661073695,"Alx4",1,"down"
"MA0164.1",3,55,6.38297872340426,11,0.58027079303675,0.913332312977847,"Nr2e3",1,"down"
"MA0135.1",2,41,4.25531914893617,8.2,0.518941359626362,0.917369733359961,"Lhx3",1,"down"
"MA0519.1",5,85,10.6382978723404,17,0.625782227784731,0.92981065177342,"Stat5a::Stat5b",1,"down"
"MA0521.1",9,135,19.1489361702128,27,0.709219858156028,0.930032034923923,"Tcf12",1,"down"
"MA0840.1",1,27,2.12765957446809,5.4,0.394011032308905,0.935493625610754,"Creb5",1,"down"
"MA0607.1",2,44,4.25531914893617,8.8,0.483558994197292,0.936302949202193,"Bhlha15",1,"down"
"MA0065.2",6,100,12.7659574468085,20,0.638297872340426,0.938816527261814,"Pparg::Rxra",1,"down"
"MA0643.1",3,60,6.38297872340426,12,0.531914893617021,0.941299791142487,"Esrrg",1,"down"
"MA0142.1",4,77,8.51063829787234,15.4,0.552638850511191,0.952766824274389,"Pou5f1::Sox2",1,"down"
"MA0092.1",3,63,6.38297872340426,12.6,0.506585612968592,0.953899367396553,"Hand1::Tcf3",1,"down"
"MA1624.1",3,71,6.38297872340426,14.2,0.449505543901708,0.976435337616008,"Stat5a",1,"down"
