"Comparison","Pearson_Correlation","Pearson_p_value","LM_p_value"
"24hrvs1hr_PTZ",0.410275237616613,0.185273852405425,0.185273852405425
"24hrvs1hr_SAL",0.467283717727195,0.125597595192213,0.125597595192213
"PTZvsSAL_1hr",0.445793278388801,0.146363834355486,0.146363834355486
"PTZvsSAL_24hr",0.417732273932037,0.176623162054068,0.176623162054068
