"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0050807","GO:0050807",1,"GO:0050807",10.7415601047418,309,"regulation of synapse organization","regulation of synapse organization",0.5746,0.5025,0
"GO:0050803","GO:0050803",1,"GO:0050807",10.522555699152,317,"regulation of synapse structure or activity","regulation of synapse organization",0.84092,0.5025,0.995
"GO:0007409","GO:0007409",2,"GO:0007409",4.6958018243652,501,"axonogenesis","axonogenesis",0.58236,0.351166666666667,0
"GO:0061001","GO:0061001",2,"GO:0007409",3.57402044906619,59,"regulation of dendritic spine morphogenesis","axonogenesis",0.39572,0.19925,0.749
"GO:0007611","GO:0007611",3,"GO:0007611",3.51558933473252,331,"learning or memory","learning or memory",0.83832,0.471,0
"GO:0099175","GO:0099175",4,"GO:0099175",3.11736864528956,139,"regulation of postsynapse organization","regulation of postsynapse organization",0.57348,0.4385,0
"GO:0050890","GO:0050890",3,"GO:0007611",2.98124584637913,371,"cognition","learning or memory",0.86028,0.469333333333333,0.988
"GO:0060997","GO:0060997",2,"GO:0007409",2.84752255381141,76,"dendritic spine morphogenesis","axonogenesis",0.4452,0.214833333333333,0.767
"GO:0031346","GO:0031346",2,"GO:0007409",2.52312952219219,463,"positive regulation of cell projection organization","axonogenesis",0.6154,0.39725,0.687
"GO:0061003","GO:0061003",2,"GO:0007409",2.49601178858135,30,"positive regulation of dendritic spine morphogenesis","axonogenesis",0.40616,0.198333333333333,0.708
"GO:0060998","GO:0060998",2,"GO:0007409",2.44131486090787,86,"regulation of dendritic spine development","axonogenesis",0.57168,0.304583333333333,0.671
"GO:0099550","GO:0099550",5,"GO:0099550",2.29183940690543,15,"trans-synaptic signaling, modulating synaptic transmission","trans-synaptic signaling, modulating synaptic transmission",0.95868,1,0
"GO:0010976","GO:0010976",2,"GO:0007409",2.14281069774432,239,"positive regulation of neuron projection development","axonogenesis",0.57968,0.374083333333333,0.729
"GO:0048813","GO:0048813",2,"GO:0007409",2.01745476724022,192,"dendrite morphogenesis","axonogenesis",0.56408,0.2895,0.83
"GO:0060999","GO:0060999",2,"GO:0007409",1.96874141828854,66,"positive regulation of dendritic spine development","axonogenesis",0.57912,0.315416666666667,0.653
"GO:0098742","GO:0098742",6,"GO:0098742",1.92416433425368,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.94896,0.563,0
"GO:0099173","GO:0099173",4,"GO:0099175",1.86967756591997,252,"postsynapse organization","regulation of postsynapse organization",0.62548,0.42075,0.937
"GO:0097061","GO:0097061",2,"GO:0007409",1.85976109768492,108,"dendritic spine organization","axonogenesis",0.53756,0.356666666666667,0.612
"GO:0007626","GO:0007626",7,"GO:0007626",1.83899663950425,273,"locomotory behavior","locomotory behavior",0.88884,1,0
"GO:0098885","GO:0098885",4,"GO:0099175",1.75290959182915,20,"modification of postsynaptic actin cytoskeleton","regulation of postsynapse organization",0.69708,0.437,0.636
"GO:0099563","GO:0099563",4,"GO:0099175",1.7478910023609,42,"modification of synaptic structure","regulation of postsynapse organization",0.68148,0.41725,0.673
"GO:0016358","GO:0016358",2,"GO:0007409",1.71835307461944,327,"dendrite development","axonogenesis",0.56044,0.2915,0.762
"GO:0106027","GO:0106027",2,"GO:0007409",1.62410090933839,118,"neuron projection organization","axonogenesis",0.62852,0.355916666666667,0.618
"GO:0007157","GO:0007157",6,"GO:0098742",1.50341784953515,50,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.95084,0.563,0.874
"GO:0050905","GO:0050905",3,"GO:0007611",1.33556047916131,204,"neuromuscular process","learning or memory",0.88008,0.599,0.599
