"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0031647","GO:0031647",1,"GO:0031647",1.74234063829044,316,"regulation of protein stability","regulation of protein stability",1,1,0
"GO:0006457","GO:0006457",2,"GO:0006457",1.48292402804055,173,"protein folding","protein folding",0.992333333333333,1,0
"GO:0021953","GO:0021953",3,"GO:0021953",1.30245133907075,212,"central nervous system neuron differentiation","central nervous system neuron differentiation",0.992333333333333,1,0
