pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.00305603783289661,0.00916811349868982,0.431707695803346,1,2.10169251387704,5,mt-Co1|mt-Nd1|mt-Co2|mt-Co3|mt-Cytb
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.0326083054610432,0.0326083054610432,0.321775918075361,0.862315859060318,1.77878732139072,6,mt-Co1|mt-Nd1|mt-Co2|mt-Co3|mt-Cytb
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.0326083054610432,0.0326083054610432,0.321775918075361,0.862315859060318,1.77878732139072,6,mt-Co1|mt-Nd1|mt-Co2|mt-Co3|mt-Cytb
