pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0.0173927467347219,0.243498454286106,0.352487857583619,-0.682704299871434,-1.75609503950559,6,Ywhah|H3f3b|Hsp90aa1|Tuba1b|Xpo1
REACTOME_M_PHASE,0.0683229813664596,0.318840579710145,0.248911114434702,-0.635910626473094,-1.51726380292574,5,H3f3b|Hsp90aa1|Tuba1b|Xpo1
REACTOME_RHO_GTPASE_EFFECTORS,0.0559006211180124,0.318840579710145,0.276500599254472,-0.650321176499385,-1.5516469458155,5,Ywhah|H3f3b|Tuba1b|Xpo1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,0.322981366459627,0.452173913043478,0.106323255932708,-0.378270812957347,-1.09292567010589,8,H3f3b|Atp6v1a|Hsp90aa1|Tuba1b|Xpo1
REACTOME_CELL_CYCLE,0.213250517598344,0.452173913043478,0.135002033828631,-0.429139863233475,-1.23989997781426,8,Ywhah|H3f3b|Hsp90aa1|Tuba1b|Xpo1
REACTOME_DEVELOPMENTAL_BIOLOGY,0.310699588477366,0.452173913043478,0.108394255853397,-0.43463799601856,-1.11800325401873,6,H3f3b|Hsp90aa1|Tuba1b|Akt3
REACTOME_INFECTIOUS_DISEASE,0.305154639175258,0.452173913043478,0.109684061970549,-0.408772495141296,-1.13146023454376,7,Hsp90aa1|Tuba1b|Xpo1|Atp1b1|Snap25
REACTOME_NEURONAL_SYSTEM,0.209876543209877,0.452173913043478,0.135740943810425,-0.491525423728814,-1.26433268189992,6,Homer1|Gad1|Tuba1b|Snap25|Nbea|Mapt
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.289855072463768,0.452173913043478,0.11331290842208,-0.483333333333333,-1.15321892870607,5,Gad1|Tuba1b|Snap25|Nbea|Mapt
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.202898550724638,0.452173913043478,0.13880510939114,-0.522397709374194,-1.24642536571658,5,Ywhah|Hsp90aa1|Tuba1b|Akt3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,0.441682600382409,0.562141491395794,0.0833634065110386,0.413730962709268,1.00217566938658,5,Taco1|Cox7b|Noc2l
REACTOME_CELL_CYCLE_MITOTIC,0.531958762886598,0.572878667724029,0.0774767547848578,-0.336401614997951,-0.931141538950446,7,H3f3b|Hsp90aa1|Tuba1b|Xpo1
REACTOME_METABOLISM_OF_RNA,0.513461538461538,0.572878667724029,0.0756946307932749,0.365830098817496,0.942840106783367,6,Tex10|Las1l|Pabpn1|Snrnp70
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.588461538461539,0.588461538461539,0.0687943095604775,0.29569907179545,0.895948130832533,10,Taco1|Cdc7|Cox7b|Noc2l|Pabpn1
