pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_INNATE_IMMUNE_SYSTEM,0.114599686028257,0.229199372056515,0.163180127180689,-0.625,-1.38303373256186,5,Hsp90aa1|Kras|Tmem30a|Ppia|Atp6v0c
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.912087912087912,0.912087912087912,0.0387962208304479,-0.29945520747605,-0.6626506453291,5,H3f3b|Kras|Gad1
