"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043204","GO:0043204",17,"GO:0043198",2.07093045599288,153,"perikaryon","dendritic shaft",0.978333333333333,0.7185,0.563
"GO:0048787","GO:0048787",9,"GO:0048786",2.00837904215816,66,"presynaptic active zone membrane","presynaptic active zone",0.761933333333333,0.5295,0.941
"GO:0015629","GO:0015629",20,"GO:0015629",1.7747649083308,507,"actin cytoskeleton","actin cytoskeleton",0.891066666666667,1,0
"GO:1990454","GO:1990454",16,"GO:0034704",1.70933240686015,10,"L-type voltage-gated calcium channel complex","calcium channel complex",0.865633333333333,0.477666666666667,0.856
"GO:0044295","GO:0044295",7,"GO:0030426",1.66238405971187,48,"axonal growth cone","growth cone",0.909266666666667,0.413666666666667,0.881
"GO:0030315","GO:0030315",18,"GO:0042383",1.53146264647359,72,"T-tubule","sarcolemma",0.907683333333333,0.5405,0.919
"GO:0005844","GO:0005844",19,"GO:0042788",1.53146264647359,78,"polysome","polysomal ribosome",0.922316666666667,0.5275,0.945
"GO:0099091","GO:0099091",2,"GO:0099572",1.50123082681139,52,"postsynaptic specialization, intracellular component","postsynaptic specialization",0.740116666666667,0.348,0.804
"GO:1990351","GO:1990351",16,"GO:0034704",1.45409776461428,421,"transporter complex","calcium channel complex",0.935633333333333,0.480666666666667,0.847
"GO:0098686","GO:0098686",1,"GO:0098984",1.4311044848776,61,"hippocampal mossy fiber to CA3 synapse","neuron to neuron synapse",0.81965,0.3885,0.824
"GO:0030667","GO:0030667",11,"GO:0099501",1.40717767697116,89,"secretory granule membrane","exocytic vesicle membrane",0.8637,0.416428571428571,0.702
"GO:0098982","GO:0098982",21,"GO:0098982",1.37697019770704,135,"GABA-ergic synapse","GABA-ergic synapse",0.838866666666667,1,0
